record_id,country,age,gender,marital,,,child_dependants,healthtype_3,healthtype_2,role,role_other,healthtype,screening_2,jobrole,,experience_1,experience_2,experience_3,experience_4,prevention_1,prevention_2,skills_1,skills_2,belief,conseq_beliefs_1,conseq_beliefs_2,conseq_beliefs_3,intentions,environment_context_1,environment_context_2,environment_context_3,environment_context_4,supplies_1,social_influence_1,social_influence_2,social_influence_3,emotion_1,emotion_2,emotion_3,emotion_4,emotion_5,trust_1,trust_2,trust_3,
11,Uganda,28,Female,Single (never married),,,2,Kampala,private,Nurse,,intensive care,daily,Fulltime,,Yes,No,Yes,Yes,Yes,Yes,strongly agree.,agree,agree,strongly disagree,agree,agree,strongly agree.,agree,agree,agree,disagree,strongly agree.,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly disagree,strongly agree.,disagree,at no time,at no time,at no time,
12,Uganda,30,Male,Married,,,2,Kampala,public,Medical doctor,,paediatric,daily,Fulltime,,Unsure,Unsure,Yes,Yes,Yes,Yes,somewhat agree,agree,somewhat agree,disagree,somewhat agree,somewhat agree,agree,disagree,disagree,somewhat disagree,neither agree nor disagree,strongly agree.,somewhat disagree,agree,somewhat agree,agree,agree,agree,agree,disagree,some of the time,less than half of the time,less than half of the time,
13,Uganda,63,Male,Married,,,3,Kampala,public,Medical doctor,,paediatric,daily,Fulltime,,Yes,No,Yes,No,Yes,Not sure,agree,agree,strongly agree.,agree,agree,strongly agree.,agree,agree,somewhat agree,strongly agree.,somewhat agree,agree,somewhat agree,agree,somewhat agree,agree,agree,NA,somewhat agree,somewhat agree,most of the time,all of the time,most of the time,
14,Uganda,43,Male,Married,,,4,Kampala,private,Consultant,,surgical,daily,Fulltime,,Yes,Yes,Yes,Yes,Yes,Yes,disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,somewhat disagree,disagree,disagree,strongly disagree,somewhat disagree,strongly disagree,somewhat disagree,strongly disagree,strongly disagree,neither agree nor disagree,neither agree nor disagree,strongly disagree,most of the time,all of the time,all of the time,
15,Uganda,62,Female,Widowed,,,None,Kampala,private,Consultant,,Medical unit,more than one day per week,part time,,No,No,Yes,Yes,NA,NA,somewhat disagree,agree,disagree,strongly agree.,agree,disagree,agree,disagree,agree,agree,disagree,strongly agree.,somewhat agree,agree,somewhat agree,agree,agree,somewhat agree,somewhat agree,neither agree nor disagree,most of the time,all of the time,all of the time,
16,Uganda,35,Male,Married,,,4,Kampala,private,Administrative,,Medical unit,NA,Fulltime,,No,No,Yes,Yes,Yes,Yes,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,at no time,at no time,at no time,
17,Uganda,30,Female,Married,,,4,Mengo ,private,Nurse,,emergency,daily,Fulltime,,Yes,No,Yes,Yes,Yes,Yes,disagree,disagree,somewhat agree,disagree,agree,agree,strongly agree.,disagree,disagree,strongly agree.,disagree,disagree,somewhat agree,strongly agree.,somewhat agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,somewhat agree,some of the time,some of the time,some of the time,
18,Uganda,49,Male,Married,,,2,Kampala,private,Consultant,,Palliative Care,daily,Fulltime,,No,Yes,Yes,No,Yes,Yes,strongly agree.,strongly agree.,strongly agree.,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,agree,strongly agree.,disagree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly disagree,strongly agree.,strongly agree.,more than half of the time,most of the time,most of the time,
19,Uganda,50,Female,Married,,,1,Kampala,private,Nurse,,emergency,daily,Fulltime,,Unsure,Unsure,Yes,Yes,Yes,Yes,strongly agree.,strongly agree.,strongly agree.,strongly agree.,agree,strongly disagree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,disagree,strongly agree.,strongly agree.,most of the time,most of the time,all of the time,
20,Uganda,31,Male,Single (never married),,,Prefer not to say,Kampala,private,Consultant,,maternity,daily,part time,,Yes,No,Yes,Yes,Yes,Yes,somewhat disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,disagree,strongly disagree,disagree,strongly agree.,agree,agree,agree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,all of the time,all of the time,all of the time,
21,Uganda,45,Male,Married,,,3,Kampala ,private,Medical doctor,,infectious disease ward,daily,Fulltime,,No,No,Yes,No,Yes,Yes,agree,agree,strongly agree.,agree,strongly agree.,strongly agree.,strongly agree.,somewhat agree,disagree,strongly agree.,neither agree nor disagree,somewhat agree,neither agree nor disagree,agree,agree,strongly agree.,agree,agree,agree,agree,more than half of the time,less than half of the time,more than half of the time,
22,Uganda,34,Female,Married,,,3,Mengo hospital ,private,Nurse,,Palliative Care,NA,Fulltime,,No,No,Yes,No,Yes,Yes,agree,agree,strongly agree.,strongly agree.,strongly agree.,disagree,strongly agree.,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,agree,agree,agree,strongly agree.,strongly agree.,somewhat agree,strongly agree.,somewhat agree,most of the time,most of the time,most of the time,
23,Uganda,42,Male,Married,,,5+,Kampala,private,Consultant,,Medical unit,more than one day per week,Fulltime,,Yes,Yes,Yes,Yes,Yes,Yes,agree,agree,strongly agree.,agree,agree,strongly agree.,agree,neither agree nor disagree,agree,somewhat agree,neither agree nor disagree,agree,neither agree nor disagree,agree,agree,somewhat agree,somewhat agree,neither agree nor disagree,agree,agree,some of the time,some of the time,some of the time,
24,Uganda,31,Female,Married,,,3,Kampala,private,Midwife,,Palliative Care,NA,Fulltime,,No,No,No,No,Yes,Yes,agree,agree,agree,agree,agree,disagree,agree,agree,disagree,disagree,disagree,agree,agree,agree,agree,agree,agree,strongly agree.,agree,disagree,all of the time,most of the time,most of the time,
25,Uganda,36,Male,Married,,,3,Mengo,private,Administrative,,Palliative Care,daily,Fulltime,,No,No,Yes,No,Yes,Yes,agree,agree,agree,agree,agree,agree,agree,strongly agree.,strongly agree.,agree,agree,strongly agree.,agree,agree,agree,strongly agree.,strongly agree.,agree,agree,agree,all of the time,all of the time,all of the time,
26,Uganda,36,Male,Married,,,3,Mengo,private,Administrative,,Palliative Care,daily,Fulltime,,No,No,Yes,No,Yes,Yes,agree,agree,agree,agree,agree,agree,agree,strongly agree.,strongly agree.,agree,agree,strongly agree.,agree,agree,agree,strongly agree.,strongly agree.,agree,agree,agree,all of the time,all of the time,all of the time,
27,Uganda,NA,NA,NA,,,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
28,Uganda,25,Female,Single (never married),,,4,Kampala ,private,Allied health professional,,Laboratory,no patient contact,Fulltime,,No,No,Yes,No,Yes,Yes,strongly disagree,agree,strongly agree.,somewhat agree,strongly disagree,agree,strongly agree.,agree,agree,strongly agree.,strongly disagree,strongly agree.,strongly agree.,strongly agree.,somewhat agree,strongly agree.,strongly agree.,strongly disagree,strongly agree.,strongly disagree,all of the time,at no time,at no time,
29,Uganda,54,Female,Married,,,None,Kampala,private,Midwife,,maternity,daily,Fulltime,,Yes,No,Yes,Yes,Yes,No,somewhat agree,agree,agree,disagree,somewhat agree,somewhat agree,strongly agree.,somewhat agree,agree,strongly disagree,somewhat agree,strongly disagree,somewhat agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,agree,agree,most of the time,some of the time,more than half of the time,
30,Uganda,34,Female,Married,,,4,Kampala,public,Medical doctor,,paediatric,more than one day per week,Fulltime,,No,No,Yes,No,Yes,No,somewhat agree,strongly agree.,agree,strongly disagree,strongly agree.,somewhat agree,agree,strongly disagree,disagree,strongly disagree,strongly disagree,strongly agree.,somewhat agree,strongly agree.,somewhat agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,somewhat agree,at no time,some of the time,some of the time,
31,Uganda,59,Female,Married,,,1,Kampala,private,Midwife,,infectious disease ward,daily,Fulltime,,No,No,No,No,Yes,Yes,agree,agree,agree,somewhat agree,agree,agree,strongly agree.,strongly agree.,somewhat agree,agree,strongly disagree,strongly agree.,agree,strongly agree.,strongly agree.,agree,agree,strongly agree.,agree,agree,most of the time,most of the time,most of the time,
32,Uganda,45,Male,Living with partner,,,4,Kampala ,private,Other,,Palliative Care,NA,Fulltime,,No,No,Unsure,No,No,No,strongly agree.,strongly agree.,agree,somewhat disagree,strongly agree.,somewhat disagree,agree,strongly agree.,somewhat agree,agree,somewhat disagree,agree,agree,agree,strongly agree.,agree,agree,somewhat agree,agree,strongly agree.,some of the time,some of the time,some of the time,
33,Uganda,28,Female,Single (never married),,,None,Kampala,private,Administrative,,Palliative Care,no patient contact,Fulltime,,Unsure,Unsure,Unsure,Unsure,Yes,NA,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,neither agree nor disagree,neither agree nor disagree,somewhat agree,somewhat agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,NA,NA,NA,NA,NA,NA,NA,NA,
34,Uganda,23,Male,Single (never married),,,3,Mbarara,public,Nurse,,Medical unit,more than one day per week,student,,No,Yes,No,Yes,Yes,Yes,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly disagree,strongly agree.,agree,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,disagree,strongly disagree,disagree,all of the time,all of the time,all of the time,
35,Uganda,29,Male,Single (never married),,,None,Kampala,private,Medical doctor,,Medical unit,daily,Fulltime,,No,No,No,Yes,Yes,Yes,agree,agree,agree,somewhat agree,agree,disagree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,somewhat disagree,some of the time,some of the time,some of the time,
36,Uganda,43,Male,Married,,,3,Kampala,public,Consultant,,Medical unit,daily,Fulltime,,Yes,Yes,Yes,Yes,Yes,Yes,somewhat agree,agree,agree,somewhat agree,strongly agree.,disagree,strongly agree.,somewhat agree,somewhat agree,strongly agree.,neither agree nor disagree,strongly agree.,somewhat agree,strongly agree.,agree,strongly agree.,strongly agree.,disagree,agree,disagree,less than half of the time,most of the time,all of the time,
37,Uganda,66,Male,Divorced,,,Prefer not to say,KATABI,private,Medical doctor,,paediatric,more than one day per week,casual or locum staff,,Yes,No,Unsure,Yes,Yes,No,agree,strongly agree.,agree,agree,neither agree nor disagree,strongly disagree,agree,strongly agree.,agree,disagree,neither agree nor disagree,strongly agree.,strongly agree.,strongly agree.,agree,agree,strongly agree.,strongly disagree,strongly agree.,disagree,some of the time,all of the time,all of the time,
38,Uganda,66,Male,Divorced,,,Prefer not to say,KATABI,private,Medical doctor,,paediatric,more than one day per week,casual or locum staff,,Yes,No,Unsure,Yes,Yes,No,agree,strongly agree.,agree,agree,neither agree nor disagree,strongly disagree,agree,strongly agree.,agree,disagree,neither agree nor disagree,strongly agree.,strongly agree.,strongly agree.,agree,agree,strongly agree.,strongly disagree,strongly agree.,disagree,some of the time,all of the time,all of the time,
39,Uganda,31,Female,Living with partner,,,3,Kampala,private,Nurse,,Medical unit,more than one day per week,Fulltime,,Yes,No,Yes,Yes,Yes,Yes,agree,agree,strongly agree.,strongly agree.,agree,disagree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,somewhat agree,agree,agree,most of the time,most of the time,more than half of the time,
40,Uganda,39,Female,Prefer not to say,,,5+,Kampala ,private,Social worker/counsellor,,Palliative Care,daily,casual or locum staff,,No,No,No,No,Yes,NA,agree,neither agree nor disagree,strongly agree.,somewhat agree,somewhat agree,strongly disagree,agree,agree,disagree,strongly disagree,neither agree nor disagree,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,disagree,agree,agree,all of the time,all of the time,all of the time,
41,Uganda,36,Male,Living with partner,,,2,Mukono,private,Consultant,,maternity,daily,Fulltime,,No,No,Yes,No,Yes,Yes,strongly disagree,strongly disagree,strongly disagree,strongly disagree,disagree,neither agree nor disagree,agree,neither agree nor disagree,somewhat agree,strongly disagree,strongly disagree,somewhat agree,agree,somewhat agree,neither agree nor disagree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly disagree,some of the time,less than half of the time,some of the time,
42,Uganda,70,Female,Single (never married),,,None,District,private,Other,,Palliative Care,daily,Fulltime,,No,No,No,No,Yes,No,neither agree nor disagree,strongly disagree,neither agree nor disagree,agree,agree,agree,agree,agree,somewhat agree,strongly disagree,somewhat agree,agree,somewhat agree,agree,agree,neither agree nor disagree,neither agree nor disagree,strongly disagree,somewhat agree,somewhat agree,some of the time,some of the time,all of the time,
43,Uganda,70,Female,Single (never married),,,None,District,private,Other,,Palliative Care,daily,Fulltime,,No,No,No,No,Yes,No,neither agree nor disagree,strongly disagree,neither agree nor disagree,agree,agree,agree,agree,agree,somewhat agree,strongly disagree,somewhat agree,agree,somewhat agree,agree,agree,neither agree nor disagree,neither agree nor disagree,strongly disagree,somewhat agree,somewhat agree,some of the time,some of the time,all of the time,
44,Uganda,32,Female,Single (never married),,,None,Gulu,private,Nurse,,Medical unit,daily,Fulltime,,Yes,Yes,Yes,Yes,Yes,Yes,agree,agree,agree,agree,agree,strongly disagree,strongly agree.,agree,agree,strongly agree.,agree,agree,agree,strongly agree.,agree,disagree,disagree,disagree,agree,strongly disagree,most of the time,most of the time,most of the time,
45,Uganda,42,Male,Married,,,2,Wakiso,private,Consultant,,Medical unit,more than one day per week,Fulltime,,Yes,Yes,Yes,Yes,Yes,Yes,strongly agree.,strongly agree.,strongly agree.,agree,agree,strongly disagree,strongly agree.,agree,agree,strongly disagree,strongly disagree,strongly agree.,agree,strongly agree.,strongly agree.,somewhat agree,somewhat agree,strongly disagree,strongly disagree,strongly disagree,more than half of the time,most of the time,most of the time,
46,Uganda,25,Male,Single (never married),,,None,Kampala,public,Medical doctor,,surgical,daily,Fulltime,,Yes,No,Yes,Yes,Yes,No,agree,agree,strongly disagree,strongly disagree,agree,agree,strongly disagree,somewhat agree,disagree,somewhat disagree,neither agree nor disagree,strongly disagree,agree,agree,somewhat agree,agree,strongly agree.,agree,strongly disagree,somewhat agree,most of the time,some of the time,some of the time,
47,Uganda,42,Female,Living with partner,,,1,Kampala,private,Allied health professional,,Palliative Care,daily,Fulltime,,No,Yes,No,No,Yes,NA,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,somewhat agree,strongly agree.,strongly agree.,somewhat agree,disagree,strongly agree.,NA,strongly disagree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,somewhat agree,disagree,agree,all of the time,all of the time,all of the time,
48,Uganda,38,Female,Married,,,3,Kampala,private,Medical doctor,,Palliative Care,daily,Fulltime,,No,No,Unsure,No,Yes,No,neither agree nor disagree,agree,neither agree nor disagree,somewhat agree,agree,strongly disagree,strongly agree.,strongly agree.,somewhat agree,disagree,somewhat agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,agree,agree,somewhat disagree,agree,strongly disagree,more than half of the time,all of the time,all of the time,
49,Uganda,40,Male,Married,,,3,Kampala,private,Administrative,,Medical unit,NA,other,,NA,No,Yes,Unsure,Yes,No,neither agree nor disagree,somewhat agree,neither agree nor disagree,disagree,agree,somewhat disagree,somewhat agree,neither agree nor disagree,disagree,somewhat disagree,somewhat disagree,agree,neither agree nor disagree,strongly agree.,somewhat agree,neither agree nor disagree,agree,neither agree nor disagree,strongly agree.,somewhat agree,less than half of the time,all of the time,all of the time,
50,Uganda,52,Female,Married,,,1,Kampala ,private,Nurse,,Palliative Care,daily,retired,,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
51,Uganda,28,Male,Single (never married),,,None,Hoima,private,Allied health professional,None,Palliative Care,daily,Fulltime,,No,No,No,No,Yes,Yes,agree,strongly disagree,strongly agree.,agree,strongly agree.,strongly disagree,strongly agree.,strongly agree.,agree,somewhat agree,somewhat agree,strongly agree.,somewhat agree,strongly agree.,agree,somewhat agree,strongly disagree,somewhat agree,strongly agree.,disagree,all of the time,all of the time,all of the time,
52,Uganda,42,Male,Married,,,3,Mpigi ,private,Other,,Other,NA,retired,,No,No,No,No,Yes,No,strongly agree.,strongly agree.,strongly agree.,strongly disagree,disagree,neither agree nor disagree,strongly agree.,agree,disagree,disagree,agree,NA,agree,agree,agree,agree,agree,agree,strongly disagree,neither agree nor disagree,at no time,all of the time,less than half of the time,
53,Uganda,28,Male,Living with partner,,,1,Jinja ,private,Social worker/counsellor,,Other,daily,Fulltime,,No,No,No,No,Yes,Yes,somewhat disagree,somewhat agree,strongly agree.,agree,strongly agree.,agree,agree,agree,agree,strongly disagree,somewhat disagree,somewhat disagree,agree,strongly agree.,agree,strongly agree.,strongly agree.,strongly agree.,agree,agree,at no time,some of the time,some of the time,
54,Uganda,32,Male,Single (never married),,,None,entebbe,public,Allied health professional,na,Other,NA,Fulltime,,No,No,No,No,Yes,No,strongly agree.,agree,agree,strongly agree.,agree,somewhat agree,strongly agree.,strongly agree.,somewhat agree,agree,strongly agree.,neither agree nor disagree,somewhat agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,somewhat disagree,agree,somewhat agree,all of the time,all of the time,all of the time,
55,Uganda,40,Female,Married,,,1,Kampala,public,Allied health professional,None,Laboratory,more than one day per week,Fulltime,,Yes,Yes,Yes,Yes,Yes,Yes,strongly agree.,strongly agree.,strongly agree.,agree,strongly agree.,strongly disagree,strongly agree.,agree,disagree,strongly agree.,strongly agree.,disagree,agree,strongly agree.,strongly agree.,agree,agree,agree,strongly disagree,strongly disagree,some of the time,some of the time,at no time,
56,Uganda,33,Female,Married,,,4,Kampala,private,Nurse,,intensive care,daily,Fulltime,,Yes,No,Yes,Yes,Yes,No,agree,agree,agree,disagree,disagree,somewhat agree,agree,agree,disagree,agree,disagree,agree,agree,agree,agree,agree,agree,agree,agree,agree,more than half of the time,more than half of the time,more than half of the time,
57,Uganda,38,Male,Married,,,2,Kampala,private,Consultant,,Medical unit,daily,Fulltime,,No,No,Yes,Yes,Yes,Yes,agree,agree,agree,somewhat disagree,agree,agree,agree,agree,disagree,agree,strongly disagree,agree,disagree,agree,agree,strongly agree.,strongly agree.,strongly agree.,strongly disagree,somewhat agree,some of the time,some of the time,most of the time,
58,Uganda,70,Female,Single (never married),,,1,Mbale,private,Medical doctor,,Palliative Care,daily,Fulltime,,No,No,Yes,Yes,Yes,Yes,agree,strongly agree.,agree,neither agree nor disagree,somewhat agree,agree,strongly agree.,agree,agree,neither agree nor disagree,strongly disagree,strongly agree.,agree,strongly agree.,strongly agree.,somewhat agree,disagree,disagree,agree,neither agree nor disagree,most of the time,most of the time,most of the time,
59,Uganda,24,Female,Single (never married),,,1,Bushenyi,public,Nurse,,maternity,daily,student,,No,No,No,No,Yes,NA,NA,NA,agree,disagree,agree,agree,agree,disagree,disagree,disagree,agree,agree,somewhat agree,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,disagree,strongly agree.,less than half of the time,some of the time,some of the time,
60,Uganda,40,Male,Married,,,4,Mayuge,public,Medical doctor,,isolation ward,daily,Fulltime,,Yes,Yes,Yes,No,NA,Yes,somewhat disagree,NA,strongly disagree,agree,somewhat agree,neither agree nor disagree,neither agree nor disagree,somewhat disagree,disagree,NA,NA,disagree,somewhat disagree,neither agree nor disagree,somewhat disagree,somewhat disagree,disagree,somewhat disagree,NA,somewhat disagree,most of the time,less than half of the time,more than half of the time,
61,Uganda,NA,NA,NA,,,NA,,NA,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,agree,disagree,agree,agree,agree,disagree,disagree,disagree,agree,agree,somewhat agree,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,disagree,strongly agree.,less than half of the time,some of the time,some of the time,
62,Uganda,24,Female,Single (never married),,,1,Bushenyi,public,Nurse,,maternity,daily,student,,No,No,No,No,Yes,No,agree,agree,agree,disagree,agree,agree,somewhat agree,disagree,disagree,disagree,agree,agree,somewhat agree,agree,agree,agree,agree,agree,agree,disagree,at no time,at no time,at no time,
63,Uganda,44,Male,Married,,,4,mubende,public,Consultant,,surgical,daily,Fulltime,,No,No,Yes,No,Yes,No,agree,agree,strongly agree.,somewhat agree,agree,agree,strongly agree.,somewhat agree,agree,strongly agree.,agree,strongly agree.,somewhat agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,agree,agree,strongly disagree,most of the time,more than half of the time,more than half of the time,
64,Uganda,19,Female,Single (never married),,,1,Wakiso,private,Midwife,,emergency,daily,student,,Unsure,No,No,No,Yes,NA,somewhat agree,agree,agree,neither agree nor disagree,somewhat agree,neither agree nor disagree,somewhat agree,agree,strongly agree.,agree,neither agree nor disagree,agree,strongly agree.,strongly agree.,strongly agree.,agree,agree,disagree,neither agree nor disagree,neither agree nor disagree,most of the time,all of the time,all of the time,
65,Uganda,28,Female,Single (never married),,,None,Wakiso,public,Nurse,,Medical unit,daily,Fulltime,,No,No,Yes,No,Yes,NA,agree,agree,agree,somewhat agree,agree,agree,strongly agree.,somewhat agree,somewhat agree,strongly disagree,disagree,somewhat agree,agree,agree,agree,strongly agree.,strongly agree.,agree,strongly disagree,strongly disagree,some of the time,some of the time,some of the time,
66,Uganda,60,Female,Prefer not to say,,,4,District ,public,Nurse,,Medical unit,more than one day per week,part time,,No,No,No,No,Yes,No,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,agree,somewhat disagree,strongly disagree,disagree,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly disagree,strongly disagree,at no time,some of the time,all of the time,
67,Uganda,44,Male,Married,,,NA,Jinja,public,Allied health professional,,Other,daily,Fulltime,,Yes,Yes,Yes,Yes,Yes,Yes,strongly disagree,somewhat agree,neither agree nor disagree,somewhat agree,somewhat agree,somewhat agree,neither agree nor disagree,somewhat agree,somewhat agree,agree,somewhat agree,strongly disagree,neither agree nor disagree,somewhat disagree,somewhat disagree,somewhat disagree,somewhat disagree,somewhat disagree,somewhat disagree,somewhat disagree,less than half of the time,more than half of the time,more than half of the time,
68,Uganda,38,Male,Living with partner,,,2,Kabarole,private,Allied health professional,MlT,Laboratory,daily,Fulltime,,No,No,No,No,Yes,Yes,somewhat disagree,strongly disagree,disagree,disagree,disagree,somewhat agree,agree,disagree,strongly disagree,strongly disagree,strongly disagree,somewhat agree,agree,agree,agree,strongly agree.,strongly agree.,strongly agree.,agree,disagree,at no time,at no time,at no time,
