cid,record_id,Country,age,gender,marital,educ,educ_other,child_dependants,Regions,healthtype_2,role,role_other,healthtype,If_Yes,jobrole,train_years,experience_1,experience_2,experience_3,experience_4,service_demand_1,service_demand_2,skills_1,skills_2,skills_3,belief,conseq_beliefs_1,conseq_beliefs_2,conseq_beliefs_3,intentions,environment_context_1,environment_context_2,environment_context_3,environment_context_4,social_influence_1,social_influence_2,social_influence_3,social_influence_4,emotion_1,emotion_2,emotion_3,emotion_4,emotion_5,trust_1,trust_2,trust_3
hcw_8424,11,Uganda,28,Male,Single (never married),NULL,NULL,2,Kampala,Public,Nurse,NULL,intensive care,daily,Fulltime,NULL,Yes,No,Yes,Yes,agree,agree,strongly agree,agree,agree,agree,strongly disagree,agree,agree,strongly agree,agree,agree,agree,disagree,agree,strongly agree,strongly agree,somewhat agree,strongly agree,strongly agree,strongly disagree,strongly agree,disagree,agree,agree,agree
hcw_8425,12,Uganda,30,Female,Married,NULL,NULL,2,Kampala,Private,Medical doctor,NULL,paediatric,daily,Fulltime,NULL,Unsure,Unsure,Yes,Yes,disagree,disagree,somewhat agree,agree,somewhat agree,somewhat agree,disagree,somewhat agree,somewhat agree,agree,disagree,disagree,somewhat disagree,neither agree nor disagree,somewhat disagree,agree,somewhat agree,somewhat agree,agree,agree,agree,agree,disagree,somewhat agree,neither agree nor disagree,neither agree nor disagree
hcw_8426,13,Uganda,63,Female,Married,NULL,NULL,3,Kampala,Private,Medical doctor,NULL,paediatric,daily,Fulltime,NULL,Yes,No,Yes,No,agree,strongly agree,agree,agree,strongly agree,strongly agree,agree,agree,strongly agree,agree,agree,somewhat agree,strongly agree,somewhat agree,somewhat agree,agree,somewhat agree,somewhat agree,agree,agree,agree,somewhat agree,somewhat agree,disagree,strongly disagree,disagree
hcw_8427,14,Uganda,43,Female,Married,NULL,NULL,4,Kampala,Public,Consultant,NULL,surgical,daily,Fulltime,NULL,Yes,Yes,Yes,Yes,strongly disagree,disagree,disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,somewhat disagree,disagree,disagree,somewhat disagree,strongly disagree,somewhat disagree,somewhat disagree,strongly disagree,strongly disagree,neither agree nor disagree,neither agree nor disagree,strongly disagree,disagree,strongly disagree,strongly disagree
hcw_8428,15,Uganda,62,Male,Widowed,NULL,NULL,0,Kampala,Public,Consultant,NULL,Medical unit,more than one day per week,part time,NULL,No,No,Yes,Yes,strongly disagree,strongly disagree,somewhat disagree,agree,strongly disagree,disagree,strongly agree,agree,disagree,agree,disagree,agree,agree,disagree,somewhat agree,agree,somewhat agree,somewhat disagree,agree,agree,somewhat agree,somewhat agree,neither agree nor disagree,disagree,strongly disagree,strongly disagree
hcw_8429,16,Uganda,35,Female,Married,NULL,NULL,4,Kampala,Public,Administrative,NULL,Medical unit,NA,Fulltime,NULL,No,No,Yes,Yes,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,agree,agree,agree
hcw_8430,17,Uganda,30,Male,Married,NULL,NULL,4,Kampala,Public,Nurse,NULL,Medical unit,daily,Fulltime,NULL,Yes,No,Yes,Yes,somewhat agree,somewhat agree,disagree,disagree,somewhat agree,somewhat agree,disagree,agree,agree,strongly agree,disagree,disagree,strongly agree,disagree,somewhat agree,strongly agree,somewhat agree,strongly disagree,strongly agree,strongly agree,strongly agree,strongly agree,somewhat agree,somewhat agree,somewhat agree,somewhat agree
hcw_8431,18,Uganda,49,Female,Married,NULL,NULL,2,Kampala,Public,Consultant,NULL,Palliative Care,daily,Fulltime,NULL,No,Yes,Yes,No,somewhat agree,somewhat agree,strongly agree,strongly agree,agree,strongly agree,agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,agree,disagree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly disagree,strongly agree,strongly agree,somewhat disagree,disagree,disagree
hcw_8432,19,Uganda,50,Male,Married,NULL,NULL,1,Kampala,Public,Nurse,NULL,emergency,daily,Fulltime,NULL,Unsure,Unsure,Yes,Yes,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,agree,strongly disagree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,agree,strongly agree,strongly agree,disagree,strongly agree,strongly agree,disagree,strongly agree,strongly agree,disagree,disagree,strongly disagree
hcw_8433,20,Uganda,31,Female,Single (never married),NULL,NULL,7,Kampala,Public,Consultant,NULL,Ambulance,daily,part time,NULL,Yes,No,Yes,Yes,strongly disagree,strongly disagree,somewhat disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,disagree,strongly disagree,disagree,agree,agree,agree,agree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree
hcw_8434,21,Uganda,45,Female,Married,NULL,NULL,3,Kampala,Public,Medical doctor,NULL,infectious disease ward,daily,Fulltime,NULL,No,No,Yes,No,strongly agree,strongly agree,agree,agree,somewhat agree,strongly agree,agree,strongly agree,strongly agree,strongly agree,somewhat agree,disagree,strongly agree,neither agree nor disagree,neither agree nor disagree,agree,agree,somewhat disagree,strongly agree,agree,agree,agree,agree,somewhat disagree,neither agree nor disagree,somewhat disagree
hcw_8435,22,Uganda,34,Male,Married,NULL,NULL,3,Kampala,Public,Nurse,NULL,Palliative Care,daily,Fulltime,NULL,No,No,Yes,No,agree,agree,agree,agree,agree,strongly agree,strongly agree,strongly agree,disagree,strongly agree,agree,strongly agree,strongly agree,strongly agree,agree,agree,agree,somewhat agree,strongly agree,strongly agree,somewhat agree,strongly agree,somewhat agree,disagree,disagree,disagree
hcw_8436,23,Uganda,42,Female,Married,NULL,NULL,5,Kampala,Public,Consultant,NULL,Medical unit,more than one day per week,Fulltime,NULL,Yes,Yes,Yes,Yes,agree,neither agree nor disagree,agree,agree,agree,strongly agree,agree,agree,strongly agree,agree,neither agree nor disagree,agree,somewhat agree,neither agree nor disagree,neither agree nor disagree,agree,agree,neither agree nor disagree,somewhat agree,somewhat agree,neither agree nor disagree,agree,agree,somewhat agree,somewhat agree,somewhat agree
hcw_8437,24,Uganda,31,Male,Married,NULL,NULL,3,Kampala,Public,Midwife,NULL,Palliative Care,NA,Fulltime,NULL,No,No,No,No,somewhat disagree,somewhat disagree,agree,agree,agree,agree,agree,agree,disagree,agree,agree,disagree,disagree,disagree,agree,agree,agree,agree,agree,agree,strongly agree,agree,disagree,strongly disagree,disagree,disagree
hcw_8438,25,Uganda,36,Female,Married,NULL,NULL,3,Kampala,Public,Administrative,NULL,Palliative Care,daily,Fulltime,NULL,No,No,Yes,No,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,strongly agree,strongly agree,agree,agree,agree,agree,agree,disagree,strongly agree,strongly agree,agree,agree,agree,strongly disagree,strongly disagree,strongly disagree
hcw_8439,26,Uganda,36,Female,Married,NULL,NULL,3,Kampala,Public,Administrative,NULL,Palliative Care,daily,Fulltime,NULL,No,No,Yes,No,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,strongly agree,strongly agree,agree,agree,agree,agree,agree,disagree,strongly agree,strongly agree,agree,agree,agree,strongly disagree,strongly disagree,strongly disagree
hcw_8440,27,Uganda,28,Male,Single (never married),NULL,NULL,0,Central 1,Public,Nurse,NULL,Medical unit,daily,Fulltime,NULL,No,No,Yes,No,agree,disagree,agree,agree,agree,strongly agree,agree,agree,agree,strongly agree,agree,NA,agree,agree,agree,strongly agree,agree,agree,strongly agree,strongly agree,agree,agree,agree,strongly disagree,strongly disagree,strongly disagree
hcw_8441,28,Uganda,25,Male,Single (never married),NULL,NULL,4,Kampala,Public,Allied health professional,Laboratory Technician,Laboratory,no patient contact,Fulltime,NULL,No,No,Yes,No,strongly agree,strongly agree,strongly disagree,agree,strongly agree,strongly agree,somewhat agree,strongly disagree,agree,strongly agree,agree,agree,strongly agree,strongly disagree,strongly agree,strongly agree,somewhat agree,strongly disagree,strongly agree,strongly agree,strongly disagree,strongly agree,strongly disagree,strongly disagree,agree,agree
hcw_8442,29,Uganda,54,Male,Married,NULL,NULL,0,Kampala,Public,Midwife,NULL,maternity,daily,Fulltime,NULL,Yes,No,Yes,Yes,disagree,disagree,somewhat agree,agree,somewhat disagree,agree,disagree,somewhat agree,somewhat agree,strongly agree,somewhat agree,agree,strongly disagree,somewhat agree,somewhat agree,strongly agree,strongly agree,disagree,strongly agree,strongly agree,strongly agree,agree,agree,disagree,somewhat agree,somewhat disagree
hcw_8443,30,Uganda,34,Male,Married,NULL,NULL,4,Kampala,Private,Medical doctor,NULL,paediatric,more than one day per week,Fulltime,NULL,No,No,Yes,No,strongly disagree,strongly disagree,somewhat agree,strongly agree,somewhat disagree,agree,strongly disagree,strongly agree,somewhat agree,agree,strongly disagree,disagree,strongly disagree,strongly disagree,somewhat agree,strongly agree,somewhat agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,somewhat agree,agree,somewhat agree,somewhat agree
hcw_8444,31,Uganda,59,Male,Married,NULL,NULL,1,Kampala,Public,Midwife,NULL,infectious disease ward,daily,Fulltime,NULL,No,No,No,No,agree,disagree,agree,agree,strongly agree,agree,somewhat agree,agree,agree,strongly agree,strongly agree,somewhat agree,agree,strongly disagree,agree,strongly agree,strongly agree,disagree,agree,agree,strongly agree,agree,agree,disagree,disagree,disagree
hcw_8445,32,Uganda,45,Female,Living with partner,NULL,NULL,4,Kampala,Public,Other,NULL,Palliative Care,NA,Fulltime,NULL,No,No,Unsure,No,somewhat disagree,disagree,strongly agree,strongly agree,agree,agree,somewhat disagree,strongly agree,somewhat disagree,agree,strongly agree,somewhat agree,agree,somewhat disagree,agree,agree,strongly agree,somewhat disagree,agree,agree,somewhat agree,agree,strongly agree,somewhat agree,somewhat agree,somewhat agree
hcw_8446,33,Uganda,28,Male,Single (never married),NULL,NULL,0,Kampala,Public,Administrative,NULL,Palliative Care,no patient contact,Fulltime,NULL,Unsure,Unsure,Unsure,Unsure,agree,agree,strongly agree,strongly agree,agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,neither agree nor disagree,neither agree nor disagree,somewhat agree,somewhat agree,strongly agree,strongly agree,strongly agree,neither agree nor disagree,strongly agree,strongly agree,agree,agree,agree,strongly disagree,strongly disagree,strongly disagree
hcw_8447,34,Uganda,23,Female,Single (never married),NULL,NULL,3,South Western,Private,Nurse,NULL,Medical unit,more than one day per week,student,NULL,No,Yes,No,Yes,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly disagree,strongly agree,agree,agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,disagree,strongly agree,strongly agree,disagree,strongly disagree,disagree,strongly disagree,strongly disagree,strongly disagree
hcw_8448,35,Uganda,29,Female,Single (never married),NULL,NULL,0,Kampala,Public,Medical doctor,NULL,Medical unit,daily,Fulltime,NULL,No,No,No,Yes,agree,agree,agree,agree,agree,agree,somewhat agree,agree,disagree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,somewhat disagree,somewhat agree,somewhat agree,somewhat agree
hcw_8449,36,Uganda,43,Female,Married,NULL,NULL,3,Kampala,Private,Consultant,NULL,Medical unit,daily,Fulltime,NULL,Yes,Yes,Yes,Yes,somewhat disagree,somewhat disagree,somewhat agree,agree,somewhat agree,agree,somewhat agree,strongly agree,disagree,strongly agree,somewhat agree,somewhat agree,strongly agree,neither agree nor disagree,somewhat agree,strongly agree,agree,disagree,strongly agree,strongly agree,disagree,agree,disagree,neither agree nor disagree,disagree,strongly disagree
hcw_8450,37,Uganda,66,Female,Divorced,NULL,NULL,7,Central 1,Public,Medical doctor,NULL,paediatric,more than one day per week,casual or locum staff,NULL,Yes,No,Unsure,Yes,agree,neither agree nor disagree,agree,strongly agree,strongly agree,agree,agree,neither agree nor disagree,strongly disagree,agree,strongly agree,agree,disagree,neither agree nor disagree,strongly agree,strongly agree,agree,neither agree nor disagree,agree,strongly agree,strongly disagree,strongly agree,disagree,somewhat agree,strongly disagree,strongly disagree
hcw_8451,38,Uganda,66,Female,Divorced,NULL,NULL,7,Central 1,Public,Medical doctor,NULL,paediatric,more than one day per week,casual or locum staff,NULL,Yes,No,Unsure,Yes,agree,neither agree nor disagree,agree,strongly agree,strongly agree,agree,agree,neither agree nor disagree,strongly disagree,agree,strongly agree,agree,disagree,neither agree nor disagree,strongly agree,strongly agree,agree,neither agree nor disagree,agree,strongly agree,strongly disagree,strongly agree,disagree,somewhat agree,strongly disagree,strongly disagree
hcw_8452,39,Uganda,31,Male,Living with partner,NULL,NULL,3,Kampala,Public,Nurse,NULL,Medical unit,more than one day per week,Fulltime,NULL,Yes,No,Yes,Yes,agree,agree,agree,agree,somewhat agree,strongly agree,strongly agree,agree,disagree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,somewhat agree,agree,agree,disagree,disagree,somewhat disagree
hcw_8453,40,Uganda,39,Male,Prefer not to say,NULL,NULL,5,Kampala,Public,Social worker/counsellor,NULL,Palliative Care,daily,casual or locum staff,NULL,No,No,No,No,agree,somewhat agree,agree,neither agree nor disagree,disagree,strongly agree,somewhat agree,somewhat agree,strongly disagree,agree,agree,disagree,strongly disagree,neither agree nor disagree,strongly agree,strongly agree,strongly agree,somewhat agree,strongly agree,strongly agree,disagree,agree,agree,strongly disagree,strongly disagree,strongly disagree
hcw_8454,41,Uganda,36,Female,Living with partner,NULL,NULL,2,Central 2,Public,Consultant,NULL,maternity,daily,Fulltime,NULL,No,No,Yes,No,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,disagree,neither agree nor disagree,agree,neither agree nor disagree,somewhat agree,strongly disagree,strongly disagree,agree,somewhat agree,neither agree nor disagree,strongly disagree,strongly agree,strongly agree,strongly agree,strongly agree,strongly disagree,somewhat agree,neither agree nor disagree,somewhat agree
hcw_8455,42,Uganda,70,Male,Single (never married),NULL,NULL,0,Central 1,Public,Other,NULL,Palliative Care,daily,Fulltime,NULL,No,No,No,No,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,strongly disagree,strongly disagree,neither agree nor disagree,agree,agree,agree,agree,agree,somewhat agree,strongly disagree,somewhat agree,somewhat agree,agree,agree,somewhat agree,neither agree nor disagree,neither agree nor disagree,strongly disagree,somewhat agree,somewhat agree,somewhat agree,somewhat agree,strongly disagree
hcw_8456,43,Uganda,70,Male,Single (never married),NULL,NULL,0,Central 1,Public,Other,NULL,Palliative Care,daily,Fulltime,NULL,No,No,No,No,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,strongly disagree,strongly disagree,neither agree nor disagree,agree,agree,agree,agree,agree,somewhat agree,strongly disagree,somewhat agree,somewhat agree,agree,agree,somewhat agree,neither agree nor disagree,neither agree nor disagree,strongly disagree,somewhat agree,somewhat agree,somewhat agree,somewhat agree,strongly disagree
hcw_8457,44,Uganda,32,Male,Single (never married),NULL,NULL,0,Mid Northern,Public,Nurse,NULL,Medical unit,daily,Fulltime,NULL,Yes,Yes,Yes,Yes,strongly agree,strongly agree,agree,agree,agree,agree,agree,agree,strongly disagree,strongly agree,agree,agree,strongly agree,agree,agree,strongly agree,agree,agree,disagree,disagree,disagree,agree,strongly disagree,disagree,disagree,disagree
hcw_8458,45,Uganda,42,Female,Married,NULL,NULL,2,Central 1,Public,Consultant,NULL,Medical unit,more than one day per week,Fulltime,NULL,Yes,Yes,Yes,Yes,neither agree nor disagree,neither agree nor disagree,strongly agree,strongly agree,strongly agree,strongly agree,agree,agree,strongly disagree,strongly agree,agree,agree,strongly disagree,strongly disagree,agree,strongly agree,strongly agree,strongly disagree,somewhat agree,somewhat agree,strongly disagree,strongly disagree,strongly disagree,somewhat disagree,disagree,disagree
hcw_8459,46,Uganda,25,Female,Single (never married),NULL,NULL,0,Kampala,Private,Medical doctor,NULL,surgical,daily,Fulltime,NULL,Yes,No,Yes,Yes,strongly disagree,disagree,agree,agree,somewhat agree,strongly disagree,strongly disagree,agree,agree,strongly disagree,somewhat agree,disagree,somewhat disagree,neither agree nor disagree,agree,agree,somewhat agree,agree,agree,strongly agree,agree,strongly disagree,somewhat agree,disagree,somewhat agree,somewhat agree
hcw_8460,47,Uganda,42,Male,Living with partner,NULL,NULL,1,Kampala,Public,Allied health professional,Laboratory Technician,Palliative Care,daily,Fulltime,NULL,No,Yes,No,No,strongly agree,somewhat agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,strongly agree,somewhat agree,strongly agree,strongly agree,somewhat agree,disagree,strongly agree,strongly disagree,strongly agree,strongly agree,disagree,strongly agree,strongly agree,somewhat agree,disagree,agree,strongly disagree,strongly disagree,strongly disagree
hcw_8461,48,Uganda,38,Male,Married,NULL,NULL,3,Kampala,Public,Medical doctor,NULL,Palliative Care,daily,Fulltime,NULL,No,No,Unsure,No,somewhat disagree,somewhat disagree,neither agree nor disagree,agree,disagree,neither agree nor disagree,somewhat agree,agree,strongly disagree,strongly agree,strongly agree,somewhat agree,disagree,somewhat agree,strongly agree,strongly agree,strongly agree,strongly agree,agree,agree,somewhat disagree,agree,strongly disagree,somewhat disagree,strongly disagree,strongly disagree
hcw_8462,49,Uganda,40,Female,Married,NULL,NULL,3,Kampala,Public,Administrative,NULL,Medical unit,NA,other,NULL,No,No,Yes,Unsure,somewhat disagree,somewhat disagree,neither agree nor disagree,somewhat agree,strongly disagree,neither agree nor disagree,disagree,agree,somewhat disagree,somewhat agree,neither agree nor disagree,disagree,somewhat disagree,somewhat disagree,neither agree nor disagree,strongly agree,somewhat agree,somewhat agree,neither agree nor disagree,agree,neither agree nor disagree,strongly agree,somewhat agree,neither agree nor disagree,strongly disagree,strongly disagree
hcw_8463,50,Uganda,52,Male,Married,NULL,NULL,1,Kampala,Public,Nurse,NULL,Palliative Care,daily,retired,NULL,No,No,No,No,agree,disagree,agree,agree,agree,strongly agree,agree,agree,agree,strongly agree,agree,NA,agree,agree,agree,strongly agree,agree,agree,strongly agree,strongly agree,agree,agree,agree,strongly disagree,strongly disagree,strongly disagree
hcw_8464,51,Uganda,28,Female,Single (never married),NULL,NULL,0,Mid Western,Public,Allied health professional,None,Palliative Care,daily,Fulltime,NULL,No,No,No,No,somewhat agree,somewhat agree,agree,strongly disagree,agree,strongly agree,agree,strongly agree,strongly disagree,strongly agree,strongly agree,agree,somewhat agree,somewhat agree,somewhat agree,strongly agree,agree,agree,somewhat agree,strongly disagree,somewhat agree,strongly agree,disagree,strongly disagree,strongly disagree,strongly disagree
hcw_8465,52,Uganda,42,Female,Married,NULL,NULL,3,Central 1,Public,Other,NULL,Other,NA,retired,NULL,No,No,No,No,strongly disagree,strongly disagree,strongly agree,strongly agree,strongly agree,strongly agree,strongly disagree,disagree,neither agree nor disagree,strongly agree,agree,disagree,disagree,agree,agree,agree,agree,agree,agree,agree,agree,strongly disagree,neither agree nor disagree,agree,strongly disagree,neither agree nor disagree
hcw_8466,53,Uganda,28,Female,Living with partner,NULL,NULL,1,East Central,Public,Social worker/counsellor,NULL,Other,daily,Fulltime,NULL,No,No,No,No,disagree,disagree,somewhat disagree,somewhat agree,somewhat disagree,strongly agree,agree,strongly agree,agree,agree,agree,agree,strongly disagree,somewhat disagree,agree,strongly agree,agree,agree,strongly agree,strongly agree,strongly agree,agree,agree,agree,somewhat agree,somewhat agree
hcw_8467,54,Uganda,32,Female,Single (never married),NULL,NULL,0,Central 1,Private,Allied health professional,None,Other,NA,Fulltime,NULL,No,No,No,No,strongly agree,strongly agree,strongly agree,agree,neither agree nor disagree,agree,strongly agree,agree,somewhat agree,strongly agree,strongly agree,somewhat agree,agree,strongly agree,somewhat agree,strongly agree,strongly agree,somewhat agree,strongly agree,strongly agree,somewhat disagree,agree,somewhat agree,strongly disagree,strongly disagree,strongly disagree
hcw_8468,55,Uganda,40,Male,Married,NULL,NULL,1,Kampala,Private,Allied health professional,None,Laboratory,more than one day per week,Fulltime,NULL,Yes,Yes,Yes,Yes,agree,strongly disagree,strongly agree,strongly agree,strongly agree,strongly agree,agree,strongly agree,strongly disagree,strongly agree,agree,disagree,strongly agree,strongly agree,agree,strongly agree,strongly agree,disagree,agree,agree,agree,strongly disagree,strongly disagree,somewhat agree,somewhat agree,agree
hcw_8469,56,Uganda,33,Male,Married,NULL,NULL,4,Kampala,Public,Nurse,NULL,intensive care,daily,Fulltime,NULL,Yes,No,Yes,Yes,disagree,disagree,agree,agree,agree,agree,disagree,disagree,somewhat agree,agree,agree,disagree,agree,disagree,agree,agree,agree,agree,agree,agree,agree,agree,agree,somewhat disagree,somewhat disagree,somewhat disagree
hcw_8470,57,Uganda,38,Female,Married,NULL,NULL,2,Kampala,Public,Consultant,NULL,Medical unit,daily,Fulltime,NULL,No,No,Yes,Yes,disagree,disagree,agree,agree,agree,agree,somewhat disagree,agree,agree,agree,agree,disagree,agree,strongly disagree,disagree,agree,agree,neither agree nor disagree,strongly agree,strongly agree,strongly agree,strongly disagree,somewhat agree,somewhat agree,somewhat agree,disagree
hcw_8471,58,Uganda,70,Male,Single (never married),NULL,NULL,1,Mid Eastern,Public,Medical doctor,NULL,Palliative Care,daily,Fulltime,NULL,No,No,Yes,Yes,somewhat disagree,somewhat disagree,agree,strongly agree,agree,agree,neither agree nor disagree,somewhat agree,agree,strongly agree,agree,agree,neither agree nor disagree,strongly disagree,agree,strongly agree,strongly agree,neither agree nor disagree,somewhat agree,disagree,disagree,agree,neither agree nor disagree,disagree,disagree,disagree
hcw_8472,59,Uganda,24,Male,Single (never married),NULL,NULL,1,South Western,Private,Nurse,NULL,maternity,daily,student,NULL,No,No,No,No,disagree,disagree,agree,agree,agree,agree,disagree,agree,agree,agree,disagree,disagree,disagree,agree,somewhat agree,agree,strongly agree,somewhat agree,strongly agree,strongly agree,strongly agree,disagree,strongly agree,neither agree nor disagree,somewhat agree,somewhat agree
hcw_8473,60,Uganda,40,Female,Married,NULL,NULL,4,East Central,Private,Medical doctor,NULL,isolation ward,daily,Fulltime,NULL,Yes,Yes,Yes,No,strongly disagree,strongly disagree,somewhat disagree,agree,disagree,strongly disagree,agree,somewhat agree,neither agree nor disagree,neither agree nor disagree,somewhat disagree,disagree,agree,agree,somewhat disagree,neither agree nor disagree,somewhat disagree,disagree,somewhat disagree,disagree,somewhat disagree,agree,somewhat disagree,disagree,neither agree nor disagree,somewhat disagree
