cid,id,country,age,sex,marital,education,educ other,chn,region,hospital,job role,other prof,work unit,contact freq,job type,train years,experience_1,experience_2,experience_3,e_do_care,can manage,continue manage,general training,received ipc training,can don,can follow,55) s_can protect,is protected,will use,proto exists,can access,has isolation,get support,expected I follow,expected to follow,colleagues follow,encouraged by staff,concerned about family,risk concerned,afraid of patients,accept risk,trust_1,trust_2,trust_3
hcw_8424,12,Senegal,26,Masculin,célibataire,doctorat,,3,Dakar,hopital de niveau I,Médical (e),,centre de santécentre de santé,quotidiennement,,1,Yes ,Yes ,Yes ,,Totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,Yes ,Yes ,Yes ,Yes ,totally agree,Yes ,Yes ,Yes ,No,No,No,Yes ,all the time,all the time,totally agree
hcw_8425,13,Senegal,30,Masculin,mari(é),licence,,1,Dakar,hopital de niveau III,Paramédical (e),,hopital,more than one day per week,,5, Do not know,Yes ,Yes ,,Totally agree,totally agree,rather disagree,somewhat agree,totally agree,totally agree,agree,rather agree,totally agree,Yes ,Yes ,Yes , Do not know,totally agree,Yes ,Yes ,No,Yes ,Yes ,No,Yes ,all the time,most of the time,rather agree
hcw_8426,14,Senegal,36,Féminin,célibataire,BFEM,,0,Dakar,hopital de niveau III,Administratif et technique,,hopital,aucun contact avec les patients,,1,Yes ,Yes ,No,,Totally agree,totally agree,disagree,disagree,totally agree,totally agree,totally agree,totally agree,totally agree,Yes ,Yes ,Yes ,Yes ,totally agree,Yes ,Yes ,Yes ,Yes ,Yes ,Yes ,Yes ,all the time,all the time,totally agree
hcw_8427,15,Senegal,25,Masculin,célibataire,baccalauréat,,3,Dakar,hopital de niveau III,Administratif et technique,,centre de santécentre de santé, Do not know,,12,No,Yes ,Yes ,,Totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,Yes ,Yes ,Yes ,Yes ,totally agree,Yes ,Yes ,Yes ,Yes ,Yes ,No,Yes ,all the time,all the time,totally agree
hcw_8428,16,Senegal,28,Masculin,célibataire,baccalauréat,,3,Dakar,hopital de niveau III,Administratif et technique,,hopital,more than one day per week,,5, Do not know,Yes ,Yes ,,Totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,agree,Yes ,Yes ,Yes , Do not know,totally agree,Yes ,Yes ,Yes ,Yes ,No,No,Yes ,most of the time,most of the time,agree
hcw_8429,17,Senegal,34,Féminin,célibataire,DESS,,4,Dakar,hopital de niveau III,Médical (e),,hopital,quotidiennement,,3,No,Yes ,Yes ,,Totally agree,Agree,rather agree,somewhat agree,totally agree,totally agree,rather agree,agree,totally agree,Yes ,Yes ,Yes , Do not know,totally agree,Yes ,Yes ,Yes ,Yes ,Yes ,No,No,all the time,most of the time,agree
hcw_8430,18,Senegal,23,Masculin,célibataire,primaire,,1,Dakar,hopital de niveau III,Administratif et technique,,hopital,more than one day per week,,1, Do not know,Yes ,No,,Totally agree,without opinion,agree,agree,agree,totally agree,totally agree,agree,agree,Yes ,Yes ,Yes , Do not know,totally agree,Yes ,Yes ,Yes ,Yes ,Yes ,No,Yes ,most of the time,most of the time,agree
hcw_8431,20,Senegal,38,Féminin, ,  ,,  ,Dakar,hopital de niveau III,Paramédical (e),,  , ,,7, , , ,, , , , , , , , , , , , , , , , , , , , , , , , 
hcw_8432,21,Senegal,45,Masculin,célibataire,baccalauréat,,0,Dakar,hopital de niveau III,Paramédical (e),,hopital,quotidiennement,,15,Yes ,Yes ,Yes ,,Totally agree,totally agree,disagree,disagree,totally agree,totally agree,rather disagree,agree,totally agree,Yes ,Yes ,Yes ,No,totally agree,Yes ,Yes , Do not know,Yes ,Yes ,Yes ,Yes ,all the time,most of the time,without opinion
hcw_8433,22,Senegal,34,Féminin,mari(é),baccalauréat,,8,Dakar,hopital de niveau III,Paramédical (e),,hopital,quotidiennement,,8, Do not know,Yes ,Yes ,,Totally agree,Agree,agree,agree,totally agree,agree,rather agree,rather agree,totally agree,Yes ,Yes ,Yes ,Yes ,totally agree,Yes ,Yes ,Yes ,Yes ,Yes ,No,Yes ,all the time,all the time,agree
hcw_8434,23,Senegal,35,Féminin,célibataire,licence,,0,Dakar,hopital de niveau III,Paramédical (e),,unité de soins intensifs,quotidiennement,,7,Yes ,Yes ,Yes ,,Agree,Agree,without opinion,totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,Yes ,Yes ,Yes , Do not know,totally agree,Yes ,Yes ,Yes ,Yes ,Yes ,No,Yes ,most of the time,part of the time,without opinion
hcw_8435,24,Senegal,29,Masculin,célibataire,baccalauréat,,0,Dakar,hopital de niveau III,Etudiant (e),,urgences,quotidiennement,,7,Yes ,Yes ,Yes ,,Totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,Yes ,Yes ,Yes ,Yes ,totally agree,Yes ,Yes ,Yes ,Yes ,No,No,No,all the time,all the time,totally agree
hcw_8436,25,Senegal,,Masculin,célibataire,doctorat,,2,Dakar,hopital de niveau III,,,hopital,rarement,,1,No,Yes ,No,,without opinion,without opinion,agree,without opinion,agree,rather agree,agree,agree,agree,No,Yes ,Yes , Do not know,agree,Yes ,Yes , Do not know,No,No,No,Yes ,all the time,most of the time,without opinion
hcw_8437,26,Senegal,40,Masculin,célibataire,CES0,,5,Dakar,hopital de niveau III,Administratif et technique,,hopital, Do not know,,6, Do not know, Do not know,No,,not agree at all,not agree at all,totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,No,No, Do not know,Yes ,totally agree,No,Yes ,No,No,No,No,No, more than half the time,at no moment,not agree at all
hcw_8438,27,Senegal,47,Féminin,mari(é),baccalauréat,,3,Dakar,hopital de niveau III,Paramédical (e),,hopital,quotidiennement,,7,No,Yes ,Yes ,,Totally agree,totally agree,agree,totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,Yes ,Yes ,Yes , Do not know,totally agree,Yes ,Yes ,Yes ,No,No,No,Yes ,all the time,all the time,totally agree
hcw_8439,28,Senegal,26,Masculin,veuf(ve),certicat,,3,Dakar,hopital de niveau III,Administratif et technique,,hopital,aucun contact avec les patients,,1,Yes , Do not know,No,,Totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,Yes ,Yes ,Yes ,Yes ,totally agree,Yes ,Yes ,Yes ,Yes ,No,Yes ,Yes ,all the time,all the time,totally agree
hcw_8440,29,Senegal,25,Féminin,célibataire,licence,,5,Dakar,hopital de niveau III,Administratif et technique,,hopital,more than one day per week,,2, Do not know,Yes ,Yes ,,Agree,Agree,without opinion,agree,agree,agree,agree,agree,totally agree,Yes ,Yes ,Yes , Do not know,totally agree,Yes ,Yes ,Yes ,Yes ,No, Do not know,Yes ,all the time,most of the time,agree
hcw_8441,30,Senegal,43,Masculin,célibataire,master,,0,Dakar,hopital de niveau III,Administratif et technique,,hopital, Do not know,,5,No,Yes ,No,,Totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,Yes ,Yes ,Yes , Do not know,totally agree,Yes ,Yes ,Yes ,Yes ,Yes ,No,Yes ,all the time,most of the time,agree
hcw_8442,31,Senegal,61,Masculin,mari(é),master,,2,Dakar,hopital de niveau III,Administratif et technique,,centre de santécentre de santé,aucun contact avec les patients,,38,No,Yes ,No,,Totally agree,totally agree,agree,totally agree,totally agree,totally agree,agree,totally agree,totally agree,No,Yes ,Yes ,Yes ,totally agree,Yes ,Yes ,Yes ,Yes ,Yes ,Yes ,Yes ,all the time,all the time,totally agree
hcw_8443,32,Senegal,32,Masculin,mari(é),BFEM,,6,Dakar,hopital de niveau III,Médical (e),,centre de santécentre de santé,aucun contact avec les patients,,3,No,Yes ,No,,Totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,Yes ,Yes ,Yes ,Yes ,totally agree,Yes ,Yes ,Yes ,Yes ,Yes ,No,Yes ,all the time,most of the time,totally agree
hcw_8444,33,Senegal,48,Féminin,célibataire,DESS,,0,Dakar,hopital de niveau III,Administratif et technique,,centre de santécentre de santé,more than one day per week,,5,No,Yes ,Yes ,,Totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,Yes ,Yes ,Yes ,Yes ,totally agree,Yes ,Yes ,Yes ,Yes ,Yes ,No,Yes ,all the time,all the time,totally agree
hcw_8445,34,Senegal,27,Masculin,veuf(ve),CES0,,8,Dakar,hopital de niveau III,Administratif et technique,,hopital, Do not know,,1,No,Yes ,No,,Totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,Yes ,Yes ,Yes ,Yes ,totally agree,Yes ,Yes ,Yes ,Yes ,Yes ,No,Yes ,all the time,all the time,totally agree
hcw_8446,35,Senegal,61,Masculin,célibataire,certicat,,6,Dakar,hopital de niveau III,Administratif et technique,,hopital, Do not know,,6,No,Yes ,Yes ,,Agree,Agree,agree,agree,totally agree,totally agree,totally agree,totally agree,totally agree,Yes ,Yes ,Yes ,Yes ,totally agree,Yes ,Yes ,Yes ,Yes ,Yes ,No,Yes ,all the time,all the time,totally agree
hcw_8447,36,Senegal,35,Masculin,mari(é),certicat,,2,Dakar,hopital de niveau III,Médical (e),,hopital,quotidiennement,,6,Yes ,Yes ,Yes ,,Totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,Yes ,Yes ,Yes ,Yes ,totally agree,Yes ,Yes ,Yes ,Yes ,Yes ,Yes ,Yes ,all the time,all the time,totally agree
hcw_8448,37,Senegal,40,Masculin,mari(é),doctorat,,3,Dakar,hopital de niveau III,Paramédical (e),,hopital,quotidiennement,,11,Yes ,Yes ,Yes ,,Totally agree,totally agree,not agree at all,totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,Yes ,Yes ,Yes , Do not know,totally agree,Yes ,Yes ,Yes ,Yes ,No,No,Yes ,all the time,all the time,totally agree
hcw_8449,38,Senegal,27,Masculin,mari(é),baccalauréat,,3,Dakar,hopital de niveau III,Administratif et technique,,hopital,rarement,,0, Do not know, Do not know,No,,Totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,Yes ,Yes ,Yes ,Yes ,totally agree,Yes ,Yes ,Yes ,Yes ,Yes ,Yes ,Yes ,all the time,all the time,totally agree
hcw_8450,39,Senegal,32,Masculin,célibataire,licence,,2,Dakar,hopital de niveau III,Administratif et technique,,hopital, Do not know,,3,No,Yes ,No,,Agree,Agree,agree,agree,agree,agree,agree,agree,agree,Yes ,Yes ,Yes , Do not know,agree,Yes ,Yes ,Yes ,Yes ,Yes ,No,Yes ,most of the time,most of the time,agree
hcw_8451,40,Senegal,32,Féminin,mari(é),BFEM,,15,Dakar,hopital de niveau I,Paramédical (e),,hopital,aucun contact avec les patients,,3,No, Do not know,No,,Agree,totally agree,agree,totally agree,totally agree,agree,agree,agree,agree,Yes ,Yes ,Yes , Do not know,agree,Yes ,Yes ,Yes , Do not know, Do not know, Do not know,Yes ,all the time,most of the time,rather agree
hcw_8452,41,Senegal,62,Masculin,mari(é),BFEM,,8,Dakar,hopital de niveau III,Administratif et technique,,centre de santécentre de santé,quotidiennement,,35,No,Yes ,Yes ,,Totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,Yes ,Yes ,Yes ,Yes ,totally agree,Yes ,Yes ,Yes ,Yes ,No,No,Yes ,all the time,all the time,totally agree
hcw_8453,42,Senegal,43,Masculin,mari(é),BFEM,,4,Dakar,hopital de niveau III,Administratif et technique,,hopital,aucun contact avec les patients,,1,No,Yes ,No,,Totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,Yes ,Yes ,Yes ,Yes ,totally agree,Yes ,Yes ,Yes ,Yes ,No,No,Yes ,all the time,all the time,totally agree
hcw_8454,43,Senegal,30,Masculin,mari(é),primaire,,5,Dakar,hopital de niveau III,Administratif et technique,,hopital,aucun contact avec les patients,,1,No,Yes ,No,,Totally agree,totally agree,not agree at all,disagree,totally agree,totally agree,totally agree,totally agree,totally agree,Yes ,Yes ,Yes ,Yes ,totally agree,Yes ,Yes ,Yes ,Yes ,Yes ,No,Yes ,all the time,all the time,totally agree
hcw_8455,44,Senegal,  , ,célibataire,baccalauréat,,0,  , ,,,hopital, Do not know,,  , Do not know,Yes ,No,,not agree at all,not agree at all,totally agree,not agree at all,not agree at all,not agree at all,not agree at all,totally agree,not agree at all,Yes ,No,Yes ,Yes ,not agree at all, Do not know,Yes ,Yes ,Yes ,Yes , Do not know,Yes ,all the time,all the time,totally agree
hcw_8456,45,Senegal,28,Masculin, ,  ,,  ,Dakar,autre,Administratif et technique,,  , ,,3, , , ,, , , , , , , , , , , , , , , , , , , , , , , , 
hcw_8457,46,Senegal,32,Masculin,célibataire,BFEM,,0,Dakar,hopital de niveau III,Administratif et technique,,hopital, Do not know,,7,No,Yes ,No,,Agree,without opinion,totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,Yes ,Yes ,Yes ,Yes ,totally agree,Yes ,Yes ,Yes ,Yes ,No,No,Yes ,all the time,all the time,agree
hcw_8458,47,Senegal,30,Féminin,célibataire,BFEM,,0,Dakar,hopital de niveau III,Paramédical (e),,hopital,aucun contact avec les patients,,2,No,Yes ,No,,Agree,Agree,agree,agree,agree,agree,agree,agree,agree,Yes ,Yes ,Yes ,Yes ,agree,Yes ,Yes ,Yes ,Yes ,Yes ,Yes ,Yes ,all the time,all the time,totally agree
hcw_8459,48,Senegal,27,Masculin,célibataire,baccalauréat,,0,Dakar,hopital de niveau III,Etudiant (e),,hopital, Do not know,,7, Do not know,Yes ,Yes ,,without opinion,without opinion,without opinion,agree,totally agree,totally agree,totally agree,totally agree,totally agree,Yes ,Yes ,Yes , Do not know,without opinion,Yes ,Yes ,Yes ,Yes ,No,No,Yes ,all the time,all the time,totally agree
hcw_8460,49,Senegal,35,Féminin,célibataire,doctorat,,0,Dakar,hopital de niveau III,Paramédical (e),,hopital,quotidiennement,,8,Yes ,Yes ,Yes ,,Totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,Yes ,Yes ,Yes ,Yes ,totally agree,Yes ,Yes ,Yes ,Yes ,Yes ,Yes ,Yes ,all the time,less than half the time,rather agree
hcw_8461,50,Senegal,34,Féminin,mari(é),baccalauréat,,3,Dakar,hopital de niveau III,Paramédical (e),,hopital,quotidiennement,,10,Yes ,Yes ,Yes ,,Totally agree,without opinion,not agree at all,not agree at all,totally agree,totally agree,totally agree,totally agree,totally agree,Yes ,Yes ,Yes ,Yes ,totally agree,Yes ,Yes ,Yes ,Yes ,Yes ,No,Yes ,all the time,all the time,totally agree
hcw_8462,51,Senegal,34,Féminin,mari(é),BFEM,,3,Dakar,Etablissement privé,Administratif et technique,,hopital,quotidiennement,,5,Yes ,Yes ,Yes ,,Totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,agree,totally agree,agree,Yes ,Yes ,Yes ,Yes ,totally agree,Yes ,Yes ,Yes ,No,Yes ,No,Yes ,all the time,at no moment,agree
hcw_8463,52,Senegal,28,Féminin,célibataire,master,,3,Dakar,Etablissement privé,Etudiant (e),,service des maladies infectieuses,aucun contact avec les patients,,4,No,No,No,,without opinion,without opinion,agree,agree,disagree,disagree,agree,agree,agree,No,Yes ,Yes , Do not know,disagree,Yes ,Yes , Do not know,Yes ,No, Do not know,Yes ,all the time,all the time,totally agree
hcw_8464,53,Senegal,33,Masculin,célibataire,master,,0,Dakar,hopital de niveau I,Administratif et technique,,service des maladies infectieuses,aucun contact avec les patients,,5,No, Do not know,No,,without opinion,without opinion,disagree,rather disagree,agree,agree,agree,agree,without opinion,Yes ,Yes , Do not know, Do not know,without opinion, Do not know,Yes ,Yes ,No,Yes ,No,Yes ,all the time,all the time,totally agree
hcw_8465,54,Senegal,34,Masculin,mari(é),master,,0,Dakar,Etablissement privé,Administratif et technique,,hopital,quotidiennement,,10, Do not know, Do not know,No,,not agree at all,totally agree,not agree at all,agree,agree,without opinion,agree,agree,without opinion,Yes ,Yes ,Yes ,Yes ,without opinion, Do not know, Do not know, Do not know, Do not know,Yes , Do not know,Yes , more than half the time,all the time,agree
hcw_8466,55,Senegal,29,Féminin,mari(é),master,,1,Dakar,Etablissement privé,Autre,,hopital, Do not know,,3,No, Do not know,No,,without opinion,without opinion,without opinion,without opinion,without opinion,without opinion,without opinion,without opinion,without opinion,Yes ,No, Do not know, Do not know,without opinion, Do not know,Yes , Do not know, Do not know, Do not know, Do not know,Yes ,all the time,all the time,totally agree
hcw_8467,56,Senegal,  , ,célibataire,master,,0,  , ,,,centre de santécentre de santé,aucun contact avec les patients,,  ,No,Yes ,No,,Totally agree,Agree,agree,agree,without opinion,without opinion,agree,without opinion,without opinion,No,No, Do not know, Do not know,without opinion,Yes ,No, Do not know,Yes ,Yes , Do not know,Yes ,part of the time,most of the time,agree
hcw_8468,57,Senegal,59,Masculin, ,  ,,  ,Dakar,hopital de niveau III,Médical (e),,  , ,,39, , , ,, , , , , , , , , , , , , , , , , , , , , , , , 
hcw_8469,58,Senegal,30,Masculin,mari(é),BFEM,,2,Dakar,hopital de niveau III,Médical (e),,service des maladies infectieuses,quotidiennement,,5,Yes ,Yes ,Yes ,,Totally agree,totally agree,agree,agree,agree,agree,not agree at all,not agree at all,totally agree,Yes ,Yes ,Yes ,Yes ,agree,Yes ,Yes ,Yes ,Yes ,No,No,Yes ,most of the time,most of the time,disagree
hcw_8470,59,Senegal,28,Féminin,célibataire,DESS,,0,Dakar,hopital de niveau III,Médical (e),,centre de santécentre de santé,quotidiennement,,5,Yes ,Yes ,Yes ,,Totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,agree,totally agree,Yes ,Yes ,No,Yes ,totally agree,Yes ,Yes ,Yes ,Yes ,No,No,Yes ,all the time,all the time,totally agree
hcw_8471,60,Senegal,40,Masculin,célibataire,doctorat,,0,Dakar,hopital de niveau I,Médical (e),,centre de santécentre de santé,quotidiennement,,1,No,Yes ,Yes ,,Agree,Agree,without opinion,agree,agree,totally agree,agree,without opinion,totally agree,Yes ,Yes ,Yes ,Yes ,totally agree,Yes ,Yes ,Yes ,No,Yes ,No,Yes ,all the time,most of the time,rather agree
hcw_8472,61,Senegal,29,Féminin,mari(é),DESS,,3,Dakar,hopital de niveau III,Médical (e),,service des maladies infectieuses,more than one day per week,,3,Yes ,Yes ,Yes ,,without opinion,somewhat agree,disagree,disagree,rather agree,agree,disagree,totally agree,totally agree,Yes ,No,No,Yes ,totally agree,Yes ,Yes ,Yes ,Yes ,Yes ,Yes ,Yes ,most of the time,most of the time,totally agree
hcw_8473,62,Senegal,31,Masculin,mari(é),DESS,,1,Dakar,hopital de niveau I,Médical (e),,service des maladies infectieuses,quotidiennement,,2, Do not know,Yes ,Yes ,,somewhat agree,rather  disagree,disagree,somewhat agree,totally agree,totally agree,rather disagree,totally agree,totally agree,Yes ,Yes ,Yes ,No,totally agree,Yes ,Yes , Do not know,Yes ,Yes ,No,Yes ,most of the time,less than half the time,rather disagree
hcw_8474,63,Senegal,30,Féminin,mari(é),DESS,,1,Dakar,hopital de niveau I,Médical (e),,centre de santécentre de santé,more than one day per week,,11,Yes ,Yes ,Yes ,,Totally agree,totally agree,agree,totally agree,totally agree,agree,agree,agree,totally agree,Yes ,Yes ,Yes ,No,totally agree,Yes ,Yes ,No,Yes ,Yes ,No,Yes ,all the time, more than half the time,rather agree
hcw_8475,64,Senegal,28,Féminin,célibataire,DESS,,0,Dakar,hopital de niveau III,Paramédical (e),,hopital,more than one day per week,,6, Do not know,Yes ,Yes ,,Totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,Yes ,Yes ,Yes ,Yes ,totally agree,Yes ,Yes ,Yes ,Yes ,No,No,Yes ,all the time,all the time,totally agree
hcw_8476,65,Senegal,27,Masculin,célibataire,licence,,2,Dakar,hopital de niveau III,Etudiant (e),,service des maladies infectieuses,aucun contact avec les patients,,0,No,Yes ,No,,Totally agree,totally agree,without opinion,agree,without opinion,without opinion,agree,totally agree,agree,No,No,Yes ,Yes ,agree,Yes , Do not know,Yes ,Yes ,No,No,Yes ,all the time,most of the time,rather agree
hcw_8477,66,Senegal,36,Masculin,célibataire,licence,,4,Dakar,hopital de niveau III,Médical (e),,service des maladies infectieuses, Do not know,,12,No, Do not know,No,,without opinion,without opinion,agree,without opinion,agree,agree,totally agree,totally agree,agree,No,No, Do not know, Do not know,agree,Yes ,Yes ,Yes ,Yes ,No, Do not know,Yes ,all the time,all the time,agree
hcw_8478,67,Senegal,28,Féminin,mari(é),baccalauréat,,3,Dakar,hopital de niveau I,Médical (e),,hopital,quotidiennement,,1,No,Yes ,Yes ,,Totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,totally agree,Yes ,Yes ,Yes ,No,totally agree,Yes ,Yes ,Yes ,Yes ,Yes ,Yes ,Yes ,all the time,most of the time,totally agree
hcw_8479,68,Senegal,22,Masculin,célibataire,master,,0,Dakar,Centre/poste de santé/district,Etudiant (e),,service des maladies infectieuses, Do not know,,0,No,Yes ,No,,rather  disagree,rather  disagree,agree,totally agree,rather agree,rather agree,rather agree,agree,totally agree,Yes ,No,Yes , Do not know,rather disagree,Yes , Do not know,Yes ,Yes ,No, Do not know,Yes ,most of the time,most of the time,agree
hcw_8480,68,Senegal,31,Féminin,Célibataire,Baccalaureate,,0,Dakar,Etablissement privé,Médical (e),,Centre de sante,Plus d'un jour pas semaine,,2, Do not know,Yes ,No,,disagree,disagree,agree,disagree,disagree,totally agree,rather disagree,agree,totally agree,Yes ,Yes ,Yes , Do not know,agree,Yes ,Yes ,Yes ,Yes , Do not know,No,Yes ,part of the time,part of the time,without opinion
hcw_8481,69,Senegal,45,Masculin,célibataire,master,,0,Dakar,hopital de niveau III,Administratif et technique,,service des maladies infectieuses, Do not know,,15,No,Yes ,No,,without opinion,without opinion,agree,totally agree,without opinion,without opinion,agree,totally agree,without opinion,No,No, Do not know,Yes ,without opinion, Do not know,Yes , Do not know,Yes ,Yes , Do not know,Yes ,part of the time,part of the time,rather agree
hcw_8482,70,Senegal,37,Masculin,mari(é),master,,6,Dakar,hopital de niveau III,Paramédical (e),,centre de santécentre de santé, Do not know,,1,No,Yes ,No,,Agree,Agree,rather agree,agree,totally agree,totally agree,totally agree,totally agree,totally agree,Yes ,Yes ,Yes , Do not know,totally agree,Yes ,Yes ,Yes ,Yes ,Yes ,No,Yes ,all the time, more than half the time,without opinion
hcw_8483,71,Senegal,28,Féminin,mari(é),licence,,1,Dakar,hopital de niveau III,Médical (e),,hopital,more than one day per week,,1,Yes ,Yes ,Yes ,,Agree,Agree,agree,agree,agree,agree,agree,agree,agree,Yes ,Yes ,Yes ,Yes ,agree,Yes ,Yes ,Yes ,Yes ,Yes ,No,Yes ,all the time,all the time,agree
