record_id,age,gender,role,role_other,healthtype,healthtype_2,healthtype_3,screening,screening_2,jobrole,marital,child_dependants,adult_dependants,experience_1,experience_2,experience_3,experience_4,prevention_1,prevention_2,skills_1,skills_2,belief,conseq_beliefs_1,conseq_beliefs_2,conseq_beliefs_3,intentions,environment_context_1,environment_context_2,environment_context_3,environment_context_4,supplies_1,social_influence_1,social_influence_2,social_influence_3,emotion_1,emotion_2,emotion_3,emotion_4,emotion_5,trust_1,trust_2,trust_3,
17,28,Female,Nurse,,intensive care,private,Kampala,Yes,daily,Fulltime,Single (never married),2,no,Yes,No,Yes,Yes,Yes,Yes,strongly agree.,agree,agree,strongly disagree,agree,agree,strongly agree.,agree,agree,agree,disagree,strongly agree.,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly disagree,strongly agree.,disagree,at no time,at no time,at no time,
18,30,Male,Medical doctor,,paediatric,public,Kampala,Yes,daily,Fulltime,Married,2,no,Unsure,Unsure,Yes,Yes,Yes,Yes,somewhat agree,agree,somewhat agree,disagree,somewhat agree,somewhat agree,agree,disagree,disagree,somewhat disagree,neither agree nor disagree,strongly agree.,somewhat disagree,agree,somewhat agree,agree,agree,agree,agree,disagree,some of the time,less than half of the time,less than half of the time,
19,63,Male,Medical doctor,,paediatric,public,Kampala,Yes,daily,Fulltime,Married,3,no,Yes,No,Yes,No,Yes,Not sure,agree,agree,strongly agree.,agree,agree,strongly agree.,agree,agree,somewhat agree,strongly agree.,somewhat agree,agree,somewhat agree,agree,somewhat agree,agree,agree,NA,somewhat agree,somewhat agree,most of the time,all of the time,most of the time,
20,43,Male,Consultant,,surgical,private,Kampala,Yes,daily,Fulltime,Married,4,no,Yes,Yes,Yes,Yes,Yes,Yes,disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,somewhat disagree,disagree,disagree,strongly disagree,somewhat disagree,strongly disagree,somewhat disagree,strongly disagree,strongly disagree,neither agree nor disagree,neither agree nor disagree,strongly disagree,most of the time,all of the time,all of the time,
21,62,Female,Consultant,,Medical unit,private,Kampala,Yes,more than one day per week,part time,Widowed,None,Yes,No,No,Yes,Yes,NA,NA,somewhat disagree,agree,disagree,strongly agree.,agree,disagree,agree,disagree,agree,agree,disagree,strongly agree.,somewhat agree,agree,somewhat agree,agree,agree,somewhat agree,somewhat agree,neither agree nor disagree,most of the time,all of the time,all of the time,
22,35,Male,Administrative,,Medical unit,private,Kampala,No,NA,Fulltime,Married,4,Yes,No,No,Yes,Yes,Yes,Yes,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,at no time,at no time,at no time,
23,30,Female,Nurse,,emergency,private,Mengo ,Yes,daily,Fulltime,Married,4,no,Yes,No,Yes,Yes,Yes,Yes,disagree,disagree,somewhat agree,disagree,agree,agree,strongly agree.,disagree,disagree,strongly agree.,disagree,disagree,somewhat agree,strongly agree.,somewhat agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,somewhat agree,some of the time,some of the time,some of the time,
24,49,Male,Consultant,,Palliative Care,private,Kampala,Yes,daily,Fulltime,Married,2,no,No,Yes,Yes,No,Yes,Yes,strongly agree.,strongly agree.,strongly agree.,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,agree,strongly agree.,disagree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly disagree,strongly agree.,strongly agree.,more than half of the time,most of the time,most of the time,
25,50,Female,Nurse,,emergency,private,Kampala,Yes,daily,Fulltime,Married,1,no,Unsure,Unsure,Yes,Yes,Yes,Yes,strongly agree.,strongly agree.,strongly agree.,strongly agree.,agree,strongly disagree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,disagree,strongly agree.,strongly agree.,most of the time,most of the time,all of the time,
26,31,Male,Consultant,,maternity,private,Kampala,Yes,daily,part time,Single (never married),Prefer not to say,no,Yes,No,Yes,Yes,Yes,Yes,somewhat disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,disagree,strongly disagree,disagree,strongly agree.,agree,agree,agree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,strongly disagree,all of the time,all of the time,all of the time,
27,45,Male,Medical doctor,,infectious disease ward,private,Kampala ,Yes,daily,Fulltime,Married,3,Yes,No,No,Yes,No,Yes,Yes,agree,agree,strongly agree.,agree,strongly agree.,strongly agree.,strongly agree.,somewhat agree,disagree,strongly agree.,neither agree nor disagree,somewhat agree,neither agree nor disagree,agree,agree,strongly agree.,agree,agree,agree,agree,more than half of the time,less than half of the time,more than half of the time,
28,34,Female,Nurse,,Palliative Care,private,Mengo hospital ,NA,NA,Fulltime,Married,3,no,No,No,Yes,No,Yes,Yes,agree,agree,strongly agree.,strongly agree.,strongly agree.,disagree,strongly agree.,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,agree,agree,agree,strongly agree.,strongly agree.,somewhat agree,strongly agree.,somewhat agree,most of the time,most of the time,most of the time,
29,42,Male,Consultant,,Medical unit,private,Kampala,Yes,more than one day per week,Fulltime,Married,5+,Yes,Yes,Yes,Yes,Yes,Yes,Yes,agree,agree,strongly agree.,agree,agree,strongly agree.,agree,neither agree nor disagree,agree,somewhat agree,neither agree nor disagree,agree,neither agree nor disagree,agree,agree,somewhat agree,somewhat agree,neither agree nor disagree,agree,agree,some of the time,some of the time,some of the time,
30,31,Female,Midwife,,Palliative Care,private,Kampala,No,NA,Fulltime,Married,3,no,No,No,No,No,Yes,Yes,agree,agree,agree,agree,agree,disagree,agree,agree,disagree,disagree,disagree,agree,agree,agree,agree,agree,agree,strongly agree.,agree,disagree,all of the time,most of the time,most of the time,
31,36,Male,Administrative,,Palliative Care,private,Mengo,Yes,daily,Fulltime,Married,3,no,No,No,Yes,No,Yes,Yes,agree,agree,agree,agree,agree,agree,agree,strongly agree.,strongly agree.,agree,agree,strongly agree.,agree,agree,agree,strongly agree.,strongly agree.,agree,agree,agree,all of the time,all of the time,all of the time,
32,36,Male,Administrative,,Palliative Care,private,Mengo,Yes,daily,Fulltime,Married,3,no,No,No,Yes,No,Yes,Yes,agree,agree,agree,agree,agree,agree,agree,strongly agree.,strongly agree.,agree,agree,strongly agree.,agree,agree,agree,strongly agree.,strongly agree.,agree,agree,agree,all of the time,all of the time,all of the time,
33,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
34,25,Female,Allied health professional,,Laboratory,private,Kampala ,Yes,no patient contact,Fulltime,Single (never married),4,no,No,No,Yes,No,Yes,Yes,strongly disagree,agree,strongly agree.,somewhat agree,strongly disagree,agree,strongly agree.,agree,agree,strongly agree.,strongly disagree,strongly agree.,strongly agree.,strongly agree.,somewhat agree,strongly agree.,strongly agree.,strongly disagree,strongly agree.,strongly disagree,all of the time,at no time,at no time,
35,54,Female,Midwife,,maternity,private,Kampala,Yes,daily,Fulltime,Married,None,Yes,Yes,No,Yes,Yes,Yes,No,somewhat agree,agree,agree,disagree,somewhat agree,somewhat agree,strongly agree.,somewhat agree,agree,strongly disagree,somewhat agree,strongly disagree,somewhat agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,agree,agree,most of the time,some of the time,more than half of the time,
36,34,Female,Medical doctor,,paediatric,public,Kampala,Yes,more than one day per week,Fulltime,Married,4,no,No,No,Yes,No,Yes,No,somewhat agree,strongly agree.,agree,strongly disagree,strongly agree.,somewhat agree,agree,strongly disagree,disagree,strongly disagree,strongly disagree,strongly agree.,somewhat agree,strongly agree.,somewhat agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,somewhat agree,at no time,some of the time,some of the time,
37,59,Female,Midwife,,infectious disease ward,private,Kampala,Yes,daily,Fulltime,Married,1,no,No,No,No,No,Yes,Yes,agree,agree,agree,somewhat agree,agree,agree,strongly agree.,strongly agree.,somewhat agree,agree,strongly disagree,strongly agree.,agree,strongly agree.,strongly agree.,agree,agree,strongly agree.,agree,agree,most of the time,most of the time,most of the time,
38,45,Male,Other,,Palliative Care,private,Kampala ,No,NA,Fulltime,Living with partner,4,Yes,No,No,Unsure,No,No,No,strongly agree.,strongly agree.,agree,somewhat disagree,strongly agree.,somewhat disagree,agree,strongly agree.,somewhat agree,agree,somewhat disagree,agree,agree,agree,strongly agree.,agree,agree,somewhat agree,agree,strongly agree.,some of the time,some of the time,some of the time,
39,28,Female,Administrative,,Palliative Care,private,Kampala,Yes,no patient contact,Fulltime,Single (never married),None,no,Unsure,Unsure,Unsure,Unsure,Yes,NA,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,neither agree nor disagree,neither agree nor disagree,somewhat agree,somewhat agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,NA,NA,NA,NA,NA,NA,NA,NA,
40,23,Male,Nurse,,Medical unit,public,Mbarara,Yes,more than one day per week,student,Single (never married),3,Yes,No,Yes,No,Yes,Yes,Yes,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly disagree,strongly agree.,agree,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,disagree,strongly disagree,disagree,all of the time,all of the time,all of the time,
41,29,Male,Medical doctor,,Medical unit,private,Kampala,Yes,daily,Fulltime,Single (never married),None,no,No,No,No,Yes,Yes,Yes,agree,agree,agree,somewhat agree,agree,disagree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,somewhat disagree,some of the time,some of the time,some of the time,
42,43,Male,Consultant,,Medical unit,public,Kampala,Yes,daily,Fulltime,Married,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,somewhat agree,agree,agree,somewhat agree,strongly agree.,disagree,strongly agree.,somewhat agree,somewhat agree,strongly agree.,neither agree nor disagree,strongly agree.,somewhat agree,strongly agree.,agree,strongly agree.,strongly agree.,disagree,agree,disagree,less than half of the time,most of the time,all of the time,
43,66,Male,Medical doctor,,paediatric,private,KATABI,Yes,more than one day per week,casual or locum staff,Divorced,Prefer not to say,no,Yes,No,Unsure,Yes,Yes,No,agree,strongly agree.,agree,agree,neither agree nor disagree,strongly disagree,agree,strongly agree.,agree,disagree,neither agree nor disagree,strongly agree.,strongly agree.,strongly agree.,agree,agree,strongly agree.,strongly disagree,strongly agree.,disagree,some of the time,all of the time,all of the time,
44,66,Male,Medical doctor,,paediatric,private,KATABI,Yes,more than one day per week,casual or locum staff,Divorced,Prefer not to say,no,Yes,No,Unsure,Yes,Yes,No,agree,strongly agree.,agree,agree,neither agree nor disagree,strongly disagree,agree,strongly agree.,agree,disagree,neither agree nor disagree,strongly agree.,strongly agree.,strongly agree.,agree,agree,strongly agree.,strongly disagree,strongly agree.,disagree,some of the time,all of the time,all of the time,
45,31,Female,Nurse,,Medical unit,private,Kampala,Yes,more than one day per week,Fulltime,Living with partner,3,no,Yes,No,Yes,Yes,Yes,Yes,agree,agree,strongly agree.,strongly agree.,agree,disagree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,somewhat agree,agree,agree,most of the time,most of the time,more than half of the time,
46,39,Female,Social worker/counsellor,,Palliative Care,private,Kampala ,Yes,daily,casual or locum staff,Prefer not to say,5+,no,No,No,No,No,Yes,NA,agree,neither agree nor disagree,strongly agree.,somewhat agree,somewhat agree,strongly disagree,agree,agree,disagree,strongly disagree,neither agree nor disagree,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,disagree,agree,agree,all of the time,all of the time,all of the time,
47,36,Male,Consultant,,maternity,private,Mukono,Yes,daily,Fulltime,Living with partner,2,Yes,No,No,Yes,No,Yes,Yes,strongly disagree,strongly disagree,strongly disagree,strongly disagree,disagree,neither agree nor disagree,agree,neither agree nor disagree,somewhat agree,strongly disagree,strongly disagree,somewhat agree,agree,somewhat agree,neither agree nor disagree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly disagree,some of the time,less than half of the time,some of the time,
48,70,Female,Other,,Palliative Care,private,District,Yes,daily,Fulltime,Single (never married),None,no,No,No,No,No,Yes,No,neither agree nor disagree,strongly disagree,neither agree nor disagree,agree,agree,agree,agree,agree,somewhat agree,strongly disagree,somewhat agree,agree,somewhat agree,agree,agree,neither agree nor disagree,neither agree nor disagree,strongly disagree,somewhat agree,somewhat agree,some of the time,some of the time,all of the time,
49,70,Female,Other,,Palliative Care,private,District,Yes,daily,Fulltime,Single (never married),None,no,No,No,No,No,Yes,No,neither agree nor disagree,strongly disagree,neither agree nor disagree,agree,agree,agree,agree,agree,somewhat agree,strongly disagree,somewhat agree,agree,somewhat agree,agree,agree,neither agree nor disagree,neither agree nor disagree,strongly disagree,somewhat agree,somewhat agree,some of the time,some of the time,all of the time,
50,32,Female,Nurse,,Medical unit,private,Gulu,Yes,daily,Fulltime,Single (never married),None,Yes,Yes,Yes,Yes,Yes,Yes,Yes,agree,agree,agree,agree,agree,strongly disagree,strongly agree.,agree,agree,strongly agree.,agree,agree,agree,strongly agree.,agree,disagree,disagree,disagree,agree,strongly disagree,most of the time,most of the time,most of the time,
51,42,Male,Consultant,,Medical unit,private,Wakiso,Yes,more than one day per week,Fulltime,Married,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,strongly agree.,strongly agree.,strongly agree.,agree,agree,strongly disagree,strongly agree.,agree,agree,strongly disagree,strongly disagree,strongly agree.,agree,strongly agree.,strongly agree.,somewhat agree,somewhat agree,strongly disagree,strongly disagree,strongly disagree,more than half of the time,most of the time,most of the time,
52,25,Male,Medical doctor,,surgical,public,Kampala,Yes,daily,Fulltime,Single (never married),None,Yes,Yes,No,Yes,Yes,Yes,No,agree,agree,strongly disagree,strongly disagree,agree,agree,strongly disagree,somewhat agree,disagree,somewhat disagree,neither agree nor disagree,strongly disagree,agree,agree,somewhat agree,agree,strongly agree.,agree,strongly disagree,somewhat agree,most of the time,some of the time,some of the time,
53,42,Female,Allied health professional,,Palliative Care,private,Kampala,Yes,daily,Fulltime,Living with partner,1,Yes,No,Yes,No,No,Yes,NA,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,somewhat agree,strongly agree.,strongly agree.,somewhat agree,disagree,strongly agree.,NA,strongly disagree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,somewhat agree,disagree,agree,all of the time,all of the time,all of the time,
54,38,Female,Medical doctor,,Palliative Care,private,Kampala,Yes,daily,Fulltime,Married,3,Yes,No,No,Unsure,No,Yes,No,neither agree nor disagree,agree,neither agree nor disagree,somewhat agree,agree,strongly disagree,strongly agree.,strongly agree.,somewhat agree,disagree,somewhat agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,agree,agree,somewhat disagree,agree,strongly disagree,more than half of the time,all of the time,all of the time,
55,40,Male,Administrative,,Medical unit,private,Kampala,Not sure,NA,other,Married,3,Yes,NA,No,Yes,Unsure,Yes,No,neither agree nor disagree,somewhat agree,neither agree nor disagree,disagree,agree,somewhat disagree,somewhat agree,neither agree nor disagree,disagree,somewhat disagree,somewhat disagree,agree,neither agree nor disagree,strongly agree.,somewhat agree,neither agree nor disagree,agree,neither agree nor disagree,strongly agree.,somewhat agree,less than half of the time,all of the time,all of the time,
56,52,Female,Nurse,,Palliative Care,private,Kampala ,Yes,daily,retired,Married,1,no,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
57,28,Male,Allied health professional,None,Palliative Care,private,Hoima,Yes,daily,Fulltime,Single (never married),None,no,No,No,No,No,Yes,Yes,agree,strongly disagree,strongly agree.,agree,strongly agree.,strongly disagree,strongly agree.,strongly agree.,agree,somewhat agree,somewhat agree,strongly agree.,somewhat agree,strongly agree.,agree,somewhat agree,strongly disagree,somewhat agree,strongly agree.,disagree,all of the time,all of the time,all of the time,
58,42,Male,Other,,Other,private,Mpigi ,No,NA,retired,Married,3,no,No,No,No,No,Yes,No,strongly agree.,strongly agree.,strongly agree.,strongly disagree,disagree,neither agree nor disagree,strongly agree.,agree,disagree,disagree,agree,NA,agree,agree,agree,agree,agree,agree,strongly disagree,neither agree nor disagree,at no time,all of the time,less than half of the time,
59,28,Male,Social worker/counsellor,,Other,private,Jinja ,Yes,daily,Fulltime,Living with partner,1,Yes,No,No,No,No,Yes,Yes,somewhat disagree,somewhat agree,strongly agree.,agree,strongly agree.,agree,agree,agree,agree,strongly disagree,somewhat disagree,somewhat disagree,agree,strongly agree.,agree,strongly agree.,strongly agree.,strongly agree.,agree,agree,at no time,some of the time,some of the time,
60,32,Male,Allied health professional,na,Other,public,entebbe,No,NA,Fulltime,Single (never married),None,Yes,No,No,No,No,Yes,No,strongly agree.,agree,agree,strongly agree.,agree,somewhat agree,strongly agree.,strongly agree.,somewhat agree,agree,strongly agree.,neither agree nor disagree,somewhat agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,somewhat disagree,agree,somewhat agree,all of the time,all of the time,all of the time,
61,40,Female,Allied health professional,None,Laboratory,public,Kampala,Yes,more than one day per week,Fulltime,Married,1,no,Yes,Yes,Yes,Yes,Yes,Yes,strongly agree.,strongly agree.,strongly agree.,agree,strongly agree.,strongly disagree,strongly agree.,agree,disagree,strongly agree.,strongly agree.,disagree,agree,strongly agree.,strongly agree.,agree,agree,agree,strongly disagree,strongly disagree,some of the time,some of the time,at no time,
62,33,Female,Nurse,,intensive care,private,Kampala,Yes,daily,Fulltime,Married,4,no,Yes,No,Yes,Yes,Yes,No,agree,agree,agree,disagree,disagree,somewhat agree,agree,agree,disagree,agree,disagree,agree,agree,agree,agree,agree,agree,agree,agree,agree,more than half of the time,more than half of the time,more than half of the time,
63,38,Male,Consultant,,Medical unit,private,Kampala,Yes,daily,Fulltime,Married,2,Yes,No,No,Yes,Yes,Yes,Yes,agree,agree,agree,somewhat disagree,agree,agree,agree,agree,disagree,agree,strongly disagree,agree,disagree,agree,agree,strongly agree.,strongly agree.,strongly agree.,strongly disagree,somewhat agree,some of the time,some of the time,most of the time,
64,70,Female,Medical doctor,,Palliative Care,private,Mbale,Yes,daily,Fulltime,Single (never married),1,no,No,No,Yes,Yes,Yes,Yes,agree,strongly agree.,agree,neither agree nor disagree,somewhat agree,agree,strongly agree.,agree,agree,neither agree nor disagree,strongly disagree,strongly agree.,agree,strongly agree.,strongly agree.,somewhat agree,disagree,disagree,agree,neither agree nor disagree,most of the time,most of the time,most of the time,
65,24,Female,Nurse,,maternity,public,Bushenyi,Yes,daily,student,Single (never married),1,no,No,No,No,No,Yes,NA,NA,NA,agree,disagree,agree,agree,agree,disagree,disagree,disagree,agree,agree,somewhat agree,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,disagree,strongly agree.,less than half of the time,some of the time,some of the time,
66,40,Male,Medical doctor,,isolation ward,public,Mayuge,Yes,daily,Fulltime,Married,4,no,Yes,Yes,Yes,No,NA,Yes,somewhat disagree,NA,strongly disagree,agree,somewhat agree,neither agree nor disagree,neither agree nor disagree,somewhat disagree,disagree,NA,NA,disagree,somewhat disagree,neither agree nor disagree,somewhat disagree,somewhat disagree,disagree,somewhat disagree,NA,somewhat disagree,most of the time,less than half of the time,more than half of the time,
67,NA,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,agree,disagree,agree,agree,agree,disagree,disagree,disagree,agree,agree,somewhat agree,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,disagree,strongly agree.,less than half of the time,some of the time,some of the time,
68,24,Female,Nurse,,maternity,public,Bushenyi,Yes,daily,student,Single (never married),1,no,No,No,No,No,Yes,No,agree,agree,agree,disagree,agree,agree,somewhat agree,disagree,disagree,disagree,agree,agree,somewhat agree,agree,agree,agree,agree,agree,agree,disagree,at no time,at no time,at no time,
69,44,Male,Consultant,,surgical,public,mubende,Yes,daily,Fulltime,Married,4,no,No,No,Yes,No,Yes,No,agree,agree,strongly agree.,somewhat agree,agree,agree,strongly agree.,somewhat agree,agree,strongly agree.,agree,strongly agree.,somewhat agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,agree,agree,strongly disagree,most of the time,more than half of the time,more than half of the time,
70,19,Female,Midwife,,emergency,private,Wakiso,Yes,daily,student,Single (never married),1,Yes,Unsure,No,No,No,Yes,NA,somewhat agree,agree,agree,neither agree nor disagree,somewhat agree,neither agree nor disagree,somewhat agree,agree,strongly agree.,agree,neither agree nor disagree,agree,strongly agree.,strongly agree.,strongly agree.,agree,agree,disagree,neither agree nor disagree,neither agree nor disagree,most of the time,all of the time,all of the time,
71,28,Female,Nurse,,Medical unit,public,Wakiso,Yes,daily,Fulltime,Single (never married),None,Yes,No,No,Yes,No,Yes,NA,agree,agree,agree,somewhat agree,agree,agree,strongly agree.,somewhat agree,somewhat agree,strongly disagree,disagree,somewhat agree,agree,agree,agree,strongly agree.,strongly agree.,agree,strongly disagree,strongly disagree,some of the time,some of the time,some of the time,
72,60,Female,Nurse,,Medical unit,public,District ,Yes,more than one day per week,part time,Prefer not to say,4,no,No,No,No,No,Yes,No,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,agree,somewhat disagree,strongly disagree,disagree,agree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly disagree,strongly disagree,at no time,some of the time,all of the time,
73,44,Male,Allied health professional,,Other,public,Jinja,Yes,daily,Fulltime,Married,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,strongly disagree,somewhat agree,neither agree nor disagree,somewhat agree,somewhat agree,somewhat agree,neither agree nor disagree,somewhat agree,somewhat agree,agree,somewhat agree,strongly disagree,neither agree nor disagree,somewhat disagree,somewhat disagree,somewhat disagree,somewhat disagree,somewhat disagree,somewhat disagree,somewhat disagree,less than half of the time,more than half of the time,more than half of the time,
74,38,Male,Allied health professional,MlT,Laboratory,private,Kabarole,Yes,daily,Fulltime,Living with partner,2,Yes,No,No,No,No,Yes,Yes,somewhat disagree,strongly disagree,disagree,disagree,disagree,somewhat agree,agree,disagree,strongly disagree,strongly disagree,strongly disagree,somewhat agree,agree,agree,agree,strongly agree.,strongly agree.,strongly agree.,agree,disagree,at no time,at no time,at no time,
75,21,Female,Midwife,,maternity,public,Wakiso,Yes,daily,Fulltime,Single (never married),None,Yes,Yes,No,Yes,Yes,Yes,Yes,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly disagree,strongly agree.,strongly agree.,strongly agree.,strongly agree.,strongly agree.,agree,strongly agree.,strongly agree.,strongly agree.,agree,agree,strongly disagree,agree,agree,all of the time,most of the time,most of the time,
