record_id,age,gender,role,role_other,healthtype,healthtype_2,District,Regions,Direct care to patients,If Yes,jobrole,marital,child_dependants,adult_dependants,experience_1,experience_2,experience_3,experience_4,contacttype,contacttype_2,prevention_1,prevention_2,prevention_3,prevention_4,prevention_5,prevention_6,prevention_7,prevention_8,prevention_9,prevention_10,prevention_11,masktype,other_prevention,service_demand_1,service_demand_2,control_procedure_1,control_procedure_2,control_procedure_3,control_procedure_4,control_procedure_5,control_procedure_6,control_procedure_7,control_procedure_8,control_procedure_9,control_procedure_10,medicalmasktype,other_procedure,skills_1,skills_2,skills_3,belief,social_role,conseq_beliefs_1,conseq_beliefs_2,conseq_beliefs_3,intentions,environment_context_1,environment_context_2,environment_context_3,environment_context_4,supplies_1,supplies_2,supplies_3,supplies_4,supplies_5,supplies_6,supplies_7,supplies_8,supplies_9,supplies_10,supplies_11,social_influence_1,social_influence_2,social_influence_3,social_influence_4,emotion_1,emotion_2,emotion_3,emotion_4,emotion_5,wellbeing_1,wellbeing_2,wellbeing_3,wellbeing_4,wellbeing_5,trust_1,trust_2,trust_3,psychological_1,psychological_2,psychological_3,psychological_4
26,36,2,9,,11,1,Kampala,Kampala,1,1,1,3,3,2,2,2,1,2,,,1,1,1,2,2,2,2,1,2,2,1,Surgical mask,Cloth masks ,6,6,1,1,1,1,1,1,1,1,1,2,Disposal masks,,6,6,6,6,6,6,6,6,6,7,7,6,6,7,7,7,7,7,7,7,7,7,7,7,6,6,6,2,7,7,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1
27,28,1,6,,1,1,Wakiso,Central 1,1,1,1,1,6,2,2,2,1,2,,,1,1,1,2,1,1,2,1,1,2,2,Surgical mask,,6,2,1,1,1,1,1,1,1,1,1,2,Surgical masks,,6,6,6,7,7,6,6,6,7,6,,6,6,7,7,7,2,6,6,2,2,6,6,2,6,7,6,6,7,7,6,6,6,1,2,2,2,1,1,1,1,1,1,2,2
28,25,1,7,Laboratory Technician,10,1,Kampala,Kampala,1,5,1,1,4,2,2,2,1,2,,,1,1,1,2,1,1,2,1,1,2,2,Surgical mask,,7,7,1,1,1,2,1,1,2,1,1,2,Surgical masks,,1,6,7,7,6,5,1,6,7,6,6,7,1,7,7,7,5,5,7,1,5,7,1,7,7,7,5,1,7,7,1,7,1,3,2,4,4,5,1,6,6,2,2,2,2
29,54,1,5,,8,1,Kampala,Kampala,1,1,1,3,6,1,1,2,1,1,2,,1,2,1,2,2,1,2,2,2,1,2,Surgical mask,,2,2,1,1,1,3,1,1,1,1,3,2,Surgical masks,,5,6,3,6,2,2,5,5,7,5,6,1,5,1,1,1,2,2,1,2,2,1,2,5,5,7,7,2,7,7,7,6,6,2,3,2,2,5,2,5,3,1,1,2,2
30,34,1,2,,4,2,Kampala,Kampala,1,2,1,3,4,2,2,2,1,2,,,1,2,1,2,2,1,2,2,2,1,2,Surgical mask,,1,1,1,1,2,2,2,1,1,1,1,2,,,5,7,3,6,7,1,7,5,6,1,2,1,1,7,7,7,1,1,7,1,1,7,1,7,5,7,5,7,7,7,7,7,5,5,5,5,2,2,6,5,5,2,1,2,2
31,59,1,5,,6,1,Kampala,Kampala,1,1,1,3,1,2,2,2,2,2,,,1,1,1,1,1,1,2,1,1,2,2,Surgical mask,,6,2,1,1,1,1,1,1,1,1,1,2,Disposal masks,,6,6,7,6,6,5,6,6,7,7,5,6,1,7,7,7,2,6,2,2,2,2,2,2,6,7,7,2,6,6,7,6,6,2,5,2,3,3,2,2,2,2,1,2,2
32,45,2,10,,11,1,Kampala,Kampala,2,,1,2,4,1,2,2,3,2,,,2,2,2,2,2,2,2,2,2,2,2,,,3,2,1,1,1,1,1,1,1,1,1,2,Surgical masks,,7,7,6,6,6,3,7,3,6,7,5,6,3,6,7,7,7,7,7,2,7,7,2,7,6,6,7,3,6,6,5,6,7,3,2,1,2,3,5,5,5,1,1,2,2
33,28,1,9,,11,1,Kampala,Kampala,1,5,1,1,6,2,3,3,3,3,,,1,1,1,2,1,1,2,1,1,2,2,Surgical mask,,6,6,1,1,1,1,1,1,1,1,1,2,Surgical masks,,7,7,6,7,7,7,7,7,7,4,4,5,5,7,7,7,2,2,7,1,6,7,1,1,7,7,7,4,7,7,6,6,6,1,2,2,2,1,1,1,1,1,1,1,1
34,23,2,6,,1,2,Mbarara,South Western,1,2,5,1,3,1,2,1,2,1,2,,1,1,1,1,1,1,1,1,1,2,2,Surgical mask,,7,7,1,1,1,1,1,1,1,1,1,2,Surgical masks,,7,7,7,7,7,7,7,1,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,7,7,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1
35,29,2,2,,1,1,Kampala,Kampala,1,1,1,1,6,2,2,2,2,1,1,2,1,1,2,1,2,1,2,1,1,2,2,,,6,6,1,1,1,1,1,1,1,1,1,2,Surgical masks,,6,6,6,6,6,5,6,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,6,6,6,6,6,6,6,6,6,3,5,5,4,5,4,5,5,5,1,1,1,1
36,43,2,1,,1,2,Kampala,Kampala,1,1,1,3,3,1,1,1,1,1,1,2,1,1,1,2,2,1,2,1,2,2,2,Surgical mask,,3,3,1,1,1,1,1,1,1,1,2,1,Surgical masks,Cloth masks ,5,6,5,6,6,5,7,2,7,5,5,7,4,7,7,7,6,6,7,3,5,7,2,5,5,7,6,2,7,7,2,6,2,5,5,4,3,3,4,2,1,2,1,2,1
37,66,2,2,,4,1,Wakiso,Central 1,1,2,3,6,7,2,1,2,3,1,1,2,1,2,1,2,2,2,2,2,2,2,2,Surgical mask,,6,4,1,1,1,1,3,1,1,1,1,2,Surgical masks,,6,7,7,6,7,6,4,1,6,7,6,2,4,7,7,7,2,2,7,6,6,7,2,1,7,7,6,4,6,7,1,7,2,1,1,1,2,1,5,1,1,2,1,1,1
38,66,2,2,,4,1,Wakiso,Central 1,1,2,3,6,7,2,1,2,3,1,1,2,1,2,1,2,2,2,2,2,2,2,2,Surgical mask,,6,4,1,1,1,1,3,1,1,1,1,2,Surgical masks,,6,7,7,6,7,6,4,1,6,7,6,2,4,7,7,7,2,2,7,6,6,7,2,1,7,7,6,4,6,7,1,7,2,1,1,1,2,1,5,1,1,2,1,1,1
39,31,1,6,,1,1,Kampala,Kampala,1,2,1,2,3,2,1,2,1,1,2,,1,1,2,1,1,1,2,1,1,2,2,,,6,6,1,1,3,1,1,1,1,1,1,2,,,6,6,5,7,7,7,6,2,6,6,6,6,6,6,6,6,4,5,7,6,6,6,5,6,6,6,6,6,6,6,5,6,6,2,2,3,2,2,2,2,3,1,1,1,1
40,39,1,8,,11,1,Kampala,Kampala,1,1,3,8,5,2,2,2,2,2,,,1,1,1,2,1,1,2,1,1,2,2,Surgical mask,,6,5,1,1,1,1,1,1,1,1,1,2,Surgical masks,,6,4,2,7,7,5,5,1,6,6,2,1,4,6,6,6,2,2,6,1,6,6,4,4,7,7,7,5,7,7,2,6,6,5,5,5,4,3,1,1,1,1,1,1,1
41,36,2,1,,8,1,Mukono,Central 2,1,1,1,2,2,1,2,2,1,2,,,1,1,1,2,2,1,2,2,3,2,2,Surgical mask,,1,1,1,1,1,2,1,1,2,1,2,2,Surgical masks,,1,1,1,1,3,1,2,4,6,4,5,1,1,5,7,7,5,4,7,1,4,7,1,4,6,5,4,1,7,7,7,7,1,4,4,4,4,4,5,4,5,1,1,1,1
42,70,1,10,,11,1,Wakiso,Central 1,1,1,1,1,6,2,2,2,2,2,,,1,2,1,1,1,1,2,2,1,2,1,Surgical mask,Cloth masks ,4,4,1,2,1,1,1,1,1,1,1,1,Cloth masks,Surgical Mask,4,1,1,4,6,6,6,6,6,6,5,1,5,6,6,6,1,1,6,1,6,5,1,1,5,6,6,5,4,4,1,5,5,2,2,2,2,4,5,5,1,2,2,1,2
43,70,1,10,,11,1,Wakiso,Central 1,1,1,1,1,6,2,2,2,2,2,,,1,2,1,1,1,1,2,2,1,2,1,Surgical mask,Cloth masks ,4,4,1,2,1,1,1,1,1,1,1,1,Cloth masks,Surgical Mask,4,1,1,4,6,6,6,6,6,6,5,1,5,6,6,6,1,1,6,1,6,5,1,1,5,6,6,5,4,4,1,5,5,2,2,2,2,4,5,5,1,2,2,1,2
44,32,1,6,,1,1,Gulu,Mid Northern,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,2,Surgical mask,,7,7,1,1,1,1,1,1,1,1,1,2,Surgical masks,,6,6,6,6,6,6,6,1,7,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,2,2,2,6,1,2,2,2,5,5,2,2,2,1,1,1,1
45,42,2,1,,1,1,Wakiso,Central 1,1,2,1,3,2,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,3,1,2,Surgical mask,,4,4,1,1,3,1,1,1,1,1,1,2,,,7,7,7,7,7,6,6,1,7,6,6,1,1,7,7,7,7,7,7,7,7,7,7,7,6,7,7,1,5,5,1,1,1,2,2,2,2,2,3,2,2,1,1,1,1
46,25,2,2,,2,2,Kampala,Kampala,1,1,1,1,6,1,1,2,1,1,2,,1,2,1,2,1,1,2,1,1,2,2,Surgical mask,,1,2,1,1,1,1,1,1,1,1,1,2,Surgical masks,,6,6,5,1,2,1,6,6,1,5,2,3,4,1,6,5,1,1,4,1,1,6,1,6,6,6,5,6,6,7,6,1,5,2,3,4,3,2,2,5,5,2,2,2,2
47,42,1,7,Laboratory Technician,11,1,Kampala,Kampala,1,1,1,2,1,1,2,1,2,2,,,1,1,1,2,1,1,2,1,1,2,2,Surgical mask,,7,5,1,1,1,1,1,1,1,1,1,2,Surgical masks,,7,7,7,7,7,7,7,5,7,7,5,2,7,7,7,7,2,2,7,7,7,7,7,2,1,7,7,2,7,7,5,2,6,1,1,1,1,1,1,1,1,1,1,1,1
48,38,1,2,,11,1,Kampala,Kampala,1,1,1,3,3,1,2,2,3,2,,,1,2,1,2,2,1,2,2,2,2,2,Surgical mask,,3,3,1,2,1,2,1,1,2,1,2,2,Surgical masks,,4,6,2,4,7,5,6,1,7,7,5,2,5,7,7,7,2,2,7,1,1,7,1,5,7,7,7,7,6,6,3,6,1,3,3,3,3,3,3,1,1,1,1,1,1
49,40,2,9,,1,1,Kampala,Kampala,3,,6,3,3,1,2,2,1,3,,,1,2,1,2,2,1,2,2,2,1,2,Surgical mask,,3,3,1,1,1,1,1,1,1,1,1,2,Surgical masks,,4,5,1,4,6,2,6,3,5,4,2,3,3,6,6,6,3,3,5,2,4,4,2,4,4,7,5,5,4,6,4,7,5,3,3,3,5,3,4,1,1,1,1,2,1
50,52,1,6,,11,1,Kampala,Kampala,1,1,4,3,1,2,2,2,2,2,,,1,1,1,2,1,1,2,1,1,2,2,Surgical mask,,6,2,1,1,1,1,1,1,1,1,1,2,Surgical masks,,6,6,6,7,7,6,6,6,7,6,,6,6,7,7,7,2,2,7,1,6,7,1,1,6,7,6,6,7,7,6,6,6,1,2,2,2,1,1,1,1,1,1,1,1
51,28,2,7,None,11,1,Hoima,Mid Western,1,1,1,1,6,2,2,2,2,2,,,1,1,1,2,1,1,2,1,1,2,2,None,,5,5,1,1,1,1,1,1,1,1,1,2,Cloth masks,,6,1,6,7,7,6,7,1,7,7,6,5,5,7,7,7,7,7,7,1,1,7,1,1,5,7,6,6,5,1,5,7,2,2,2,2,1,1,1,1,1,2,1,1,1
52,42,2,10,,12,1,Mpigi ,Central 1,2,,4,3,3,2,2,2,2,2,,,1,2,1,2,2,1,2,2,1,1,2,Surgical mask,,1,1,1,3,1,1,1,1,1,1,1,2,Surgical masks,,7,7,7,7,1,1,2,4,7,6,2,2,6,7,7,6,4,4,5,4,6,7,4,6,6,6,6,6,6,6,6,1,4,2,3,2,2,2,6,1,4,1,1,1,1
53,28,2,8,,12,1,Jinja ,East Central,1,1,1,2,1,1,2,2,2,2,,,1,1,1,2,1,1,2,1,1,2,2,Surgical mask,,2,2,1,1,1,1,1,1,1,1,1,2,Surgical masks,,3,5,3,7,7,6,7,6,6,6,6,1,3,3,6,6,5,2,6,1,2,6,1,2,6,7,6,6,7,7,7,6,6,3,5,2,2,2,6,5,5,1,1,1,1
54,32,2,7,None,12,2,Wakiso,Central 1,2,,1,1,6,1,2,2,2,2,,,1,2,1,2,2,2,2,2,2,2,3,None,,7,7,1,1,1,1,1,1,1,1,1,1,Cloth masks,None,7,6,4,6,7,7,6,5,7,7,5,6,7,4,4,4,4,4,4,4,4,4,4,4,5,7,7,5,7,7,3,6,5,2,2,2,2,2,1,1,1,1,1,2,2
55,40,1,7,None,10,2,Kampala,Kampala,1,2,1,3,1,2,1,1,1,1,1,2,1,1,2,2,2,1,1,1,1,1,2,,,6,1,2,1,2,2,2,2,2,2,2,2,,,7,7,7,7,7,6,7,1,7,6,2,7,7,2,2,7,2,2,2,2,2,2,2,2,6,7,7,2,6,6,6,1,1,1,1,1,2,1,5,5,6,2,2,2,2
56,33,1,6,,3,1,Kampala,Kampala,1,1,1,3,4,2,1,2,1,1,1,1,1,2,1,2,2,1,2,1,2,2,2,Surgical mask,,2,2,1,1,1,2,2,1,1,1,2,2,Surgical masks,,6,6,6,6,6,2,2,5,6,6,2,6,2,6,6,6,2,5,6,2,2,6,2,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,3,3,3,2,2,1,1
57,38,2,1,,1,1,Kampala,Kampala,1,1,1,3,2,1,2,2,1,1,1,2,1,1,1,2,1,1,2,1,1,2,2,Surgical mask,,2,2,1,1,1,1,1,1,1,1,1,2,Surgical masks,,6,6,6,6,6,3,6,6,6,6,2,6,1,6,7,7,6,6,6,1,6,7,1,7,2,6,6,4,7,7,7,1,5,2,2,2,2,2,5,5,2,2,1,1,2
58,70,1,2,,11,1,Mbale,Mid Eastern,1,1,1,1,1,2,2,2,1,1,2,,1,1,1,2,1,1,2,1,2,2,2,Surgical mask,,3,3,1,1,1,1,1,1,3,1,3,2,Surgical masks,,6,7,6,6,5,4,5,6,7,6,6,4,1,7,7,7,6,2,7,1,7,7,1,7,6,7,7,4,5,2,2,6,4,3,3,3,2,2,2,2,2,2,1,1,2
59,24,1,6,,8,2,Bushenyi,South Western,1,1,5,1,1,2,2,2,2,2,,,1,1,1,2,1,1,2,1,1,2,2,Surgical mask,,2,2,1,1,1,1,1,1,1,1,1,2,Surgical masks,,6,6,6,6,7,2,6,6,6,2,2,2,6,6,6,7,2,1,2,2,2,2,2,2,5,6,7,5,7,7,7,2,7,5,4,6,6,5,4,5,5,1,1,2,1
60,40,2,2,,7,2,Mayuge,East Central,1,1,1,3,4,2,1,1,1,2,,,1,1,1,2,1,1,2,1,1,2,2,Surgical mask,,1,1,1,1,1,1,1,1,1,1,1,2,Surgical masks,,3,6,2,1,1,6,5,4,4,3,2,6,6,2,7,7,2,2,7,1,6,7,1,1,3,4,3,2,3,2,3,6,3,2,5,3,4,3,2,4,3,2,2,1,1
61,28,1,6,,1,1,Wakiso,Central 1,1,1,1,1,6,2,2,2,1,2,,,1,1,1,2,1,1,2,1,1,2,2,Surgical mask,,2,2,1,1,1,1,1,1,1,1,1,2,Surgical masks,,6,6,6,6,7,2,6,6,6,2,2,2,6,6,6,7,2,1,2,2,2,2,2,2,5,6,7,5,7,7,7,2,7,5,4,6,6,5,4,5,5,1,1,2,1
62,24,1,6,,8,2,Bushenyi,South Western,1,1,5,1,1,2,2,2,2,2,,,1,2,1,2,2,2,2,2,2,2,2,Surgical mask,,7,2,1,1,1,2,2,2,2,2,2,2,Surgical masks,,6,6,5,6,6,2,6,6,5,2,2,2,6,6,7,7,1,1,2,1,6,6,1,1,5,6,6,6,6,6,6,6,2,6,5,6,4,6,6,6,6,1,1,2,1
63,44,2,1,,2,2,mubende,Central 2,1,1,1,3,4,2,2,2,1,2,,,1,2,1,2,2,1,2,2,1,2,2,Surgical mask,,5,5,1,1,2,1,2,1,1,1,2,2,,,6,6,6,7,7,5,6,6,7,5,6,7,6,7,7,7,1,1,7,1,7,7,1,7,5,7,7,2,7,7,6,6,1,5,5,5,4,5,2,3,3,2,1,2,2
64,19,1,5,,5,1,Wakiso,Central 1,1,1,5,1,1,1,3,2,2,2,,,1,1,1,1,1,1,3,1,1,3,2,None,,4,4,1,1,3,1,1,1,1,1,3,3,,,5,6,4,6,7,4,5,4,5,6,7,6,4,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,6,6,2,4,4,2,2,2,2,1,2,1,1,1,1,1,1
65,28,1,6,,1,2,Wakiso,Central 1,1,1,1,1,6,1,2,2,1,2,,,1,1,1,1,1,1,2,2,1,2,2,Surgical mask,,3,7,1,1,1,1,1,1,1,1,1,2,Surgical masks,,6,6,5,6,6,5,6,6,7,5,5,1,2,5,5,7,1,1,5,2,5,5,1,1,6,6,6,6,7,7,6,1,1,5,5,5,4,4,5,5,5,1,1,1,2
