,d_carer_b,consent,willing,d_region_c_o,d_age_i,d_gender,d_edu_c_o,d_hosp_c_u,d_marital_c_u,d_chdn_i,d_job_role_c_u,d_work_unit_c_u,d_contact_freq_i,d_job_type_c_u,d_training_years_i,d_aware_novel,d_getting_infected,d_contacting_coronavirus,d_consider_yourself,e_ever_worked_c_u,e_ever_cared_c_u,e_ever_contact_c_u,e_do_care_c_o,e_contact_type_c_o,e_aerosol_c_o,i_n95_c_o,i_mask_c_o,i_hand_hyg_c_o,i_gown_c_o,i_apron_c_o,i_full_suit_c_o,i_gloves_c_o,i_eye_protect_c_o,i_sing_use_eqps_c_o,s_can_manage_c_o,s_cont_mge_c_o,s_ipc_skill_c_o,s_received_training,s_can_don_c_o,s_can_followc_o,s_can_protect_c_0,s_is_proected,s_is_straining_c_o,s_will_use_c_o,s_risk_concd_c_o,s_fam_concd_c_o,s_is_afraid_c_o,s_accept_c_o,s_my_ctrl_c_o,b_manage,b_honest_manage,b_dir_interest
11,Yes,Yes,Yes,Yaounde,27,Male,Post-Secondary School/SSS/SHS Certificate,Lucrative private health Facility,Living alone,4,Pharmacist,Other,Never,Prefer not to say,2 to 5  years,Yes,[1]  Extremely unlikely,[1]  Extremely unlikely,[1]  Extremely unlikely,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree
12,Yes,Yes,Yes,Yaounde,28,Female,Masters,Unlucrative private Health facility,Living with another (Married - Partnership),3,Allied health professionals,Medical Unit,Just about one day during each week,Fulltime,6 to 10 years,Yes,[5],[4],[3],No,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree
13,Yes,Yes,Yes,Yaounde,40,Female,Other,Lucrative private health Facility,Living with another (Married - Partnership),3,Nurse,Medical Unit,Almost every day of the month,Long-Term Contract (>12mths),11 to 15 years,Yes,[7] Extremely likely,[7] Extremely likely,[3],Yes,Yes,Yes,Yes,Direct Contact with COVID-19 patients,Unsure,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat Agree,Strongly Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neither Agree nor Disagree,Neither Agree nor Disagree
14,NA,Yes,Yes,Yaounde,38,Male,Other,Lucrative private health Facility,Living with another (Married - Partnership),2,Non clinical,Other,Never,Fulltime,< 1 year,Yes,[2],[2],[1]  Extremely unlikely,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree
15,NA,Yes,Yes,Yaounde,25,Female,Masters,Lucrative private health Facility,Prefer not to say,1,Midwife,Other,Never,Fulltime,< 1 year,Yes,[5],[3],[4],No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree
16,NA,Yes,Yes,Yaounde,30,Female,High School Diploma,Lucrative private health Facility,Living alone,3,Allied health professionals,Medical Unit,Never,Fulltime,2 to 5  years,Yes,[5],[1]  Extremely unlikely,[2],No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Somewhat Disagree
17,Yes,Yes,Yes,Yaounde,35,Female,First University Degree,Lucrative private health Facility,Living with another (Married - Partnership),3,Nurse,Outpatient department,Almost every day of the month,Prefer not to say,6 to 10 years,Yes,[4],[4],[3],No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Neither Agree nor Disagree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree
18,NA,Yes,Yes,Douala,56,Female,Post-Secondary School/SSS/SHS Certificate,Unlucrative private Health facility,Living with another (Married - Partnership),1,Nurse Assistant Preventive,Other,Almost every day of the month,Long-Term Contract (>12mths),More than 15 years,Yes,[7] Extremely likely,[7] Extremely likely,[7] Extremely likely,No,Yes,Yes,Yes,Direct Contact with COVID-19 patients,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree
19,NA,Yes,Yes,Douala,37,Female,First University Degree,Lucrative private health Facility,Living alone,More than 5,Allied health professionals,Other,Almost every day of the month,Long-Term Contract (>12mths),2 to 5  years,Yes,[7] Extremely likely,[7] Extremely likely,[7] Extremely likely,Yes,Yes,Yes,Yes,Unsure,No,Yes,Yes,Yes,No,No,Yes,No,No,No,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
20,Yes,Yes,Yes,Douala,32,Male,Other,Lucrative private health Facility,Living alone,3,Nurse,Other,Almost every day of the month,Long-Term Contract (>12mths),2 to 5  years,Yes,[3],[3],[3],No,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree
21,NA,Yes,Yes,Douala,27,Female,Other,Unlucrative private Health facility,Living alone,1,Nurse,Medical Unit,Never,Voluntary,< 1 year,Yes,[4],[3],[1]  Extremely unlikely,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree
22,Yes,Yes,Yes,Douala,30,Female,First University Degree,Lucrative private health Facility,Living alone,1,Non clinical,Other,Almost every day of the month,NA,2 to 5  years,Yes,[7] Extremely likely,[7] Extremely likely,[7] Extremely likely,No,Yes,Yes,Yes,Direct Contact with COVID-19 patients,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree
23,NA,Yes,Yes,Douala,43,Female,Other,Lucrative private health Facility,Living with another (Married - Partnership),3,Non clinical,Other,Never,Long-Term Contract (>12mths),More than 15 years,Yes,[7] Extremely likely,[7] Extremely likely,[6],No,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree
24,NA,Yes,Yes,Douala,28,Male,First University Degree,Lucrative private health Facility,Living alone,1,Non clinical,Other,Almost every day of the month,Long-Term Contract (>12mths),6 to 10 years,Yes,[4],[4],[4],No,No,Yes,Yes,Direct Contact with COVID-19 patients,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree
25,Yes,Yes,Yes,Douala,30,Female,First University Degree,Lucrative private health Facility,Living alone,1,Allied health professionals,Other,Almost every day of the month,Long-Term Contract (>12mths),2 to 5  years,Yes,[7] Extremely likely,[7] Extremely likely,[7] Extremely likely,Yes,No,No,Yes,Unsure,No,No,No,No,No,No,No,No,No,No,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree
26,Yes,Yes,Yes,Douala,20,Female,Post-Secondary School/SSS/SHS Certificate,Lucrative private health Facility,Living with another (Married - Partnership),2,Nurse,Emergency,Almost every day of the month,Long-Term Contract (>12mths),2 to 5  years,Yes,[3],[3],[3],No,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat Agree,Somewhat Agree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree
27,Yes,Yes,Yes,Douala,24,Female,Post-Secondary School/SSS/SHS Certificate,Lucrative private health Facility,Living with another (Married - Partnership),2,Nurse,Medical Unit,Almost every day of the month,Short-term contract (< 13mths),2 to 5  years,Yes,[3],[2],[2],No,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree
28,Yes,Yes,Yes,Douala,30,Female,Post-Secondary School/SSS/SHS Certificate,Lucrative private health Facility,Living with another (Married - Partnership),2,Nurse,Infectious Disease Ward,Almost every day of the month,Long-Term Contract (>12mths),6 to 10 years,Yes,[1]  Extremely unlikely,[6],[4],No,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly Agree,Somewhat Agree,Neither Agree nor Disagree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Agree,Strongly Agree
29,Yes,Yes,Yes,Douala,40,Female,Post-Secondary School/SSS/SHS Certificate,Lucrative private health Facility,Living with another (Married - Partnership),4,Health Assistants,Other,Almost every day of the month,Voluntary,2 to 5  years,Yes,[4],[4],[4],No,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Somewhat Disagree
30,Yes,Yes,Yes,Douala,28,Male,Masters,Lucrative private health Facility,Living alone,1,Medical Doctor,Other,Almost every day of the month,Short-term contract (< 13mths),< 1 year,Yes,[4],[4],[3],Yes,No,Unsure,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree
31,Yes,Yes,Yes,Douala,30,Female,High School Diploma,Lucrative private health Facility,Living with another (Married - Partnership),4,Nurse,Maternity,Almost every day of the month,Part time,6 to 10 years,Yes,[1]  Extremely unlikely,[4],[1]  Extremely unlikely,No,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Agree
32,Yes,Yes,Yes,Douala,24,Female,Other,Lucrative private health Facility,Living alone,1,Nurse,Other,Almost every day of the month,Long-Term Contract (>12mths),2 to 5  years,Yes,[4],[4],[4],No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree
33,NA,Yes,Yes,Douala,29,Female,First University Degree,Lucrative private health Facility,Living alone,2,Nurse,Pediatric,Almost every day of the month,Fulltime,2 to 5  years,Yes,[7] Extremely likely,[2],[2],No,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree
34,NA,Yes,Yes,Douala,34,Female,First University Degree,Lucrative private health Facility,Living with another (Married - Partnership),3,Non clinical,Other,Almost every day of the month,Long-Term Contract (>12mths),6 to 10 years,Yes,[6],[6],[7] Extremely likely,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree
35,NA,Yes,Yes,Douala,36,Female,First University Degree,Lucrative private health Facility,Living with another (Married - Partnership),3,Non clinical,Other,Almost every day of the month,Fulltime,6 to 10 years,Yes,[7] Extremely likely,[7] Extremely likely,[7] Extremely likely,No,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,3,Somewhat Disagree,Strongly Agree
36,NA,Yes,Yes,Douala,64,Male,Post-Secondary School/SSS/SHS Certificate,Lucrative private health Facility,Living with another (Married - Partnership),2,Non clinical,Other,About one day in the month,Casual or locum staff,2 to 5  years,Yes,[7] Extremely likely,[7] Extremely likely,[7] Extremely likely,No,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree
37,Yes,Yes,Yes,Yaounde,44,Male,Masters,Lucrative private health Facility,Living alone,1,Medical Doctor,Outpatient department,Almost every day of the month,Long-Term Contract (>12mths),6 to 10 years,Yes,[1]  Extremely unlikely,[1]  Extremely unlikely,[1]  Extremely unlikely,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree
38,Yes,Yes,Yes,Yaounde,28,Female,First University Degree,Lucrative private health Facility,Living alone,4,Midwife,Maternity,Almost every day of the month,Voluntary,2 to 5  years,Yes,[7] Extremely likely,[7] Extremely likely,[1]  Extremely unlikely,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree
39,Yes,Yes,Yes,Yaounde,29,Female,Post-Secondary School/SSS/SHS Certificate,Lucrative private health Facility,Living alone,3,Nurse,Maternity,Almost every day of the month,Prefer not to say,2 to 5  years,Yes,[7] Extremely likely,[7] Extremely likely,[7] Extremely likely,No,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Agree
40,NA,Yes,Yes,Yaounde,43,Female,High School Diploma,Lucrative private health Facility,Living with another (Married - Partnership),5,Non clinical,Other,Never,Fulltime,6 to 10 years,Yes,[7] Extremely likely,[7] Extremely likely,[1]  Extremely unlikely,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree
41,Yes,NA,Yes,Yaounde,28,Female,Masters,Unlucrative private Health facility,Living alone,4,Allied health professionals,Outpatient department,Almost every day of the month,Short-term contract (< 13mths),2 to 5  years,Yes,[7] Extremely likely,[1]  Extremely unlikely,[1]  Extremely unlikely,No,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree
