record_id,d_carer_b,consent,willing,d_age_i,gender,d_marital_c_u,d_edu_c_o,d_educ_other,d_chdn_i,d_region_c_o,d_hosp_c_u,d_job_role_c_u,d_work_unit_c_u,d_contact_freq_i,d_job_type_c_u,d_training_years_i,e_ever_worked_c_u,e_ever_cared_c_u,e_ever_contact_c_u,e_do_care_c_o,e_contact_type_c_o,e_aerosol_c_o,i_n95_c_o,i_mask_c_o,i_hand_hyg_c_o,i_gown_c_o,i_apron_c_o,i_full_suit_c_o,i_gloves_c_o,i_eye_protect_c_o,i_sing_use_eqps_c_o,s_can_manage_c_o,s_cont_mge_c_o,s_ipc_skill_c_o,s_received_training,s_can_don_c_o,s_can_followc_o,s_can_protect_c_0,s_is_proected,s_is_straining_c_o,s_will_use_c_o,s_proto_exists_c_o,s_can_access_ppe_c_o,s_has_iso_fac,s_know_cont_c_o,s_get_supp_c_o,s_coll_follow_c_o,s_expected_i_fllw_c_o,s_enco_supp_c_o,s_risk_concd_c_o,s_fam_concd_c_o,s_is_afraid_c_o,s_accept_c_o,s_my_ctrl_c_o,s_alcohol_c_o,r_n95_c_o,r_surg_mask_c_o,r_fluid_gown_c_o,r_disp_apron_c_o,r_disp_gloves_c_o,r_full_suit_c_o,r_eye_prot_c_o,w_cheer_c_o,w_calm_c_o,w_active_c_o,w_rested_c_o,w_interest_c_o,f_cmpt_c_o,f_hnst_c_o,f_best_int_c_o,e_c19_exp_c_o,e_risk_assess_c_o,e_risk_level_b,e_did_isolate_b,e_isolate_days_ch,e_exp_loc_c_u,e_c19_test_b,e_test_results_c_o,e_pos_mgmt_c_u
1828,1,1,1,32,,1,2,Certificate,3,2,4,9,7,1,6,2,0,0,1,1,1,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,,,,,,0,,
1829,1,1,1,28,,1,2,CERTIFICATE,3,2,2,9,7,2,6,3,1,1,1,1,1,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,,,,,,0,,
2698,1,1,1,32,2,2,4,,0,1,4,1,7,1,6,5,1,0,1,1,1,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,-1,0,1,1,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,,,,,,0,,
38,1,1,1,30,1,2,4,,1,1,8,9,13,1,2,6,0,0,0,0,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-2,-2,-2,-2,-2,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,,,,,,0,,
946,1,1,1,34,2,2,3,,1,14,2,9,9,1,6,9,0,0,1,1,2,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-2,2,2,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,1,1,2,,,1,1,1,2
3793,1,1,1,52,2,2,3,,5,15,4,2,2,1,6,17,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,-2,2,2,2,2,2,2,1,2,2,-2,-2,-2,2,2,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,1,1,2,,,1,1,0,
566,1,1,1,38,1,2,4,,3,7,2,4,4,1,6,10,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,-2,2,1,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,1,1,2,,,1,1,0,
3353,1,1,1,38,2,2,5,,4,7,4,1,6,2,0,108,1,0,1,1,1,,,,,,,,,,,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,1,1,2,,,1,0,,
3833,1,1,1,34,2,1,4,,2,15,3,9,4,3,6,3,0,0,1,1,1,,,,,,,,,,,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-2,2,2,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,1,1,1,1,14,2,0,,
673,1,1,1,33,2,2,4,,1,6,7,3,12,2,6,9,1,0,1,0,,,,,,,,,,,,2,2,1,0,1,1,1,1,0,1,1,1,1,1,2,2,2,2,2,2,0,2,2,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,1,1,1,1,14,1,1,0,
2321,1,1,1,-37,,2,4,,5,2,7,3,12,1,3,10,1,1,1,1,1,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,1,1,1,1,14,1,1,0,
1519,1,1,1,49,,2,4,,2,15,4,4,1,1,6,28,1,1,1,1,2,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,-2,2,2,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,1,1,1,1,,1,0,,
3050,1,1,1,28,2,0,4,,0,7,1,1,6,2,0,2,0,0,1,0,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,1,1,1,0,,1,1,0,
3634,1,1,1,37,2,1,4,,1,7,2,1,3,1,6,12,1,1,1,1,1,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,1,1,1,0,,1,1,0,
4729,1,1,1,29,1,1,4,,0,4,6,1,1,1,6,40,0,0,1,1,1,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,-2,-2,2,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,1,1,1,0,,1,1,0,
3674,1,1,1,30,1,2,6,,0,6,4,1,1,4,6,4,1,1,1,1,2,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,1,1,1,0,,1,0,,
677,1,1,1,62,,2,4,,0,7,8,1,7,1,6,35,1,1,1,1,2,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,-2,2,2,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,1,1,1,,,1,1,0,
3984,1,1,1,52,2,0,4,,1,5,4,9,2,1,6,27,2,0,1,0,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-2,-2,-2,-1,2,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,1,1,,,,1,0,,
1767,1,1,1,24,,1,4,,0,7,7,9,11,1,4,1,0,0,1,1,2,1,1,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,1,-2,1,2,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,1,0,,,,1,1,0,
3343,1,1,1,29,2,2,4,,1,6,5,1,1,1,6,3,0,1,1,1,2,0,1,0,1,1,1,1,1,1,1,2,0,2,2,2,2,2,2,2,2,2,2,2,2,-1,2,2,2,2,2,-2,2,2,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,1,0,,,,1,1,0,
691,1,1,1,27,,1,3,,0,7,3,5,6,1,6,1,1,0,1,1,1,,,,,,,,,,,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,,,,,,,1,0,
3737,1,1,1,56,2,2,5,,1,2,2,1,7,1,6,16,1,1,1,1,2,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,1,2,2,2,1,1,2,2,4,4,4,4,4,4,4,4,3,3,3,3,3,2,1,2,1,0,,,,1,0,,
4623,1,1,1,24,1,,3,,0,2,8,4,7,1,0,2,1,1,1,0,,,,,,,,,,,,2,2,1,-1,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,-2,-1,2,4,4,4,4,4,4,4,4,3,3,3,3,3,2,1,2,,,,,,,0,,
4624,1,1,1,24,1,1,3,,0,2,8,4,7,1,0,2,1,1,1,0,,,,,,,,,,,,2,2,1,-1,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,-2,-1,2,4,4,4,4,4,4,4,4,3,3,3,3,3,2,1,2,,,,,,,0,,
2985,1,1,1,44,1,2,6,,6,10,1,1,6,1,6,15,0,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1,2,2,1,1,1,2,1,1,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,1,2,,,,,,1,0,
1358,1,1,1,30,2,2,4,,1,7,7,9,10,2,2,5,0,0,1,0,,,,,,,,,,,,2,2,-2,-1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,0,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,1,2,,,,,,0,,
1629,1,1,1,34,,1,3,,0,7,5,9,9,4,6,4,1,1,1,0,,,,,,,,,,,,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,0,2,2,4,4,4,4,4,4,4,4,3,3,3,3,3,2,1,1,2,,,,,,0,,
2990,1,1,1,59,2,2,3,Advanced Diploma in Community Nursing ,5,15,6,2,7,1,6,41,1,0,1,0,,,,,,,,,,,,2,2,2,2,2,2,1,1,-1,1,1,1,1,1,0,2,1,2,1,1,-2,-2,1,4,4,4,4,4,4,4,4,3,3,3,3,3,2,0,1,2,,,,,,0,,
4626,1,1,1,24,1,1,3,,0,2,8,4,7,1,0,2,1,2,2,2,,,,,,,,,,,,2,2,2,2,2,2,2,2,1,2,1,2,2,2,1,2,2,1,2,2,2,1,2,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,0,,,,,,,0,,
1406,1,1,1,33,2,1,4,,0,15,8,3,12,1,0,8,0,0,1,1,2,0,1,0,1,0,0,0,0,0,2,2,2,2,2,2,2,2,2,-2,2,2,2,2,2,2,2,2,2,0,1,-2,2,2,4,4,4,4,4,4,4,4,3,3,3,3,3,1,2,2,3,,,,,,1,0,
4265,1,1,1,32,2,2,4,,0,7,8,1,2,1,0,3,1,0,0,0,,,,,,,,,,,,0,0,2,2,2,2,2,2,-2,2,2,2,1,2,0,2,2,2,-2,-2,-2,2,-2,4,4,4,4,4,4,4,4,3,3,3,3,3,1,2,2,2,,,,,,1,0,
4586,1,1,1,52,2,2,3,,1,15,5,2,7,1,6,15,0,0,1,0,,,,,,,,,,,,2,2,2,2,2,2,2,2,-2,2,2,2,0,2,2,2,2,2,2,2,-2,-1,2,4,4,4,4,4,4,4,4,3,3,3,3,3,1,2,2,2,,,,,,0,,
1902,1,1,1,37,,2,5,,0,7,8,3,12,5,1,40,0,0,1,0,,,,,,,,,,,,1,1,1,1,1,2,2,1,0,2,2,2,0,2,0,2,2,2,0,0,0,0,0,4,4,4,4,4,4,4,4,3,3,3,3,3,1,2,2,2,,,,,,0,,
1410,1,1,1,25,,1,3,,,1,6,2,1,1,1,3,0,0,1,1,1,,,,,,,,,,,,2,1,2,0,2,2,1,-1,2,2,2,2,2,1,2,2,2,1,1,-1,2,1,4,4,4,4,4,4,4,4,3,3,3,3,3,1,2,2,1,1,1,1,14,2,1,0,
1413,1,1,1,25,,1,3,,1,1,6,2,1,1,1,3,0,0,1,1,1,,,,,,,,,,,2,2,1,2,0,2,2,1,-1,2,2,2,2,2,1,2,2,2,1,1,-1,2,1,4,4,4,4,4,4,4,4,3,3,3,3,3,1,2,2,1,1,1,1,14,2,1,0,
1414,1,1,1,25,,1,3,,,1,6,2,1,1,1,3,0,0,1,1,1,,,,,,,,,,,,2,1,2,0,2,2,1,-1,2,2,2,2,2,1,2,2,2,1,1,-1,2,1,4,4,4,4,4,4,4,4,3,3,3,3,3,1,2,2,1,1,1,1,14,2,1,0,
4295,1,1,1,32,1,2,4,,3,7,7,1,7,1,0,4,0,0,0,0,,,,,,,,,,,,1,1,2,1,2,2,2,2,2,2,2,2,0,1,1,2,2,2,1,1,0,2,1,4,4,4,4,4,4,4,4,3,3,3,3,3,1,1,1,2,,,,,,1,0,
1798,1,1,1,24,,1,4,,1,14,6,2,7,2,3,1,0,0,0,0,,,,,,,,,,,,2,2,-1,-1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,4,4,4,4,4,4,4,4,3,3,3,3,3,1,1,1,2,,,,,,0,,
448,1,1,1,29,2,1,4,,0,2,5,9,13,1,2,3,0,1,1,1,1,,,,,,,,,,,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,3,3,3,3,3,1,1,1,1,1,,,,3,0,,
2881,1,1,1,32,2,2,4,,0,7,8,1,7,2,0,7,0,0,1,1,2,0,1,1,1,1,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,-1,-1,1,4,4,4,4,4,4,4,4,3,3,3,3,3,1,2,0,1,1,1,1,14,1,1,0,
3979,1,1,1,65,2,2,6,,3,2,7,1,1,1,6,35,1,1,1,1,2,0,2,2,2,2,2,2,2,2,2,-1,-1,2,2,2,2,2,2,2,2,2,2,-2,2,2,2,2,2,2,2,-2,2,2,4,4,4,4,4,4,4,4,3,3,3,3,3,-1,2,2,2,,,,,,0,,
543,1,1,1,26,2,1,4,,0,2,7,9,13,1,6,2,0,0,1,1,1,,,,,,,,,,,1,1,1,1,1,0,1,0,1,2,1,2,-1,2,-1,2,1,1,-1,1,-2,2,2,4,4,4,4,4,4,4,4,3,3,3,3,3,-2,1,0,2,,,,,,1,0,
1505,1,1,1,26,,1,3,,0,8,4,9,11,1,6,2,1,0,0,0,,,,,,,,,,,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-2,2,-2,4,4,4,4,4,4,4,4,3,3,3,3,2,2,2,2,2,,,,,,0,,
3214,1,1,1,27,2,1,4,,0,2,3,1,6,1,0,2,1,1,0,1,3,,,,,,,,,,,1,1,2,2,2,2,2,2,2,2,2,0,-1,1,1,2,2,2,2,2,-1,2,2,4,4,4,4,4,4,4,4,3,3,3,3,2,2,2,2,2,,,,,,0,,
1208,1,1,1,36,1,2,4,,2,2,1,4,7,1,6,12,1,0,1,1,2,1,1,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,-2,2,2,4,4,4,4,4,4,4,4,3,3,3,3,2,2,1,2,1,1,2,,,1,1,0,
3823,1,1,1,29,2,1,4,,2,4,4,4,1,1,6,4,1,1,1,1,2,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,-1,2,2,2,2,2,2,2,2,2,2,2,-2,2,2,4,4,4,4,4,4,4,4,3,3,3,3,2,2,1,1,1,1,1,1,3,1,1,0,
2305,1,1,1,42,,1,4,,0,9,2,4,1,1,6,7,0,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,-2,1,2,4,4,4,4,4,4,4,4,3,3,3,3,2,2,1,1,1,1,1,0,,1,1,0,
818,1,1,1,29,2,1,5,,0,7,2,1,5,2,6,4,0,0,1,1,2,0,1,0,1,1,1,0,0,1,1,2,2,2,2,2,2,1,2,-1,2,2,2,2,2,2,1,1,2,1,-1,-1,1,2,4,4,4,4,4,4,4,4,3,3,3,3,2,2,1,1,1,1,1,0,,1,1,0,
1736,1,1,1,28,,1,4,,0,2,2,9,11,1,6,3,1,1,1,0,,,,,,,,,,,,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,4,4,4,4,4,4,4,4,3,3,3,3,2,1,2,2,2,,,,,,0,,
2734,1,1,1,33,2,2,5,,1,2,8,1,1,1,6,8,0,0,1,1,1,,,,,,,,,,,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,2,2,1,2,1,4,4,4,4,4,4,4,4,3,3,3,3,2,1,1,0,1,1,1,1,14,2,1,0,
3885,1,1,1,29,2,1,4,,0,15,8,1,1,1,6,4,0,1,1,1,2,0,1,0,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,1,2,1,2,2,2,0,2,2,1,0,1,-1,2,-2,4,4,4,4,4,4,4,4,3,3,3,3,2,0,0,1,1,,,,,,0,,
3253,1,1,1,29,1,2,4,,2,15,6,2,7,1,6,40,0,0,1,1,2,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,1,-2,1,4,4,4,4,4,4,4,4,3,3,3,3,2,-2,2,2,1,0,,,,1,1,0,
1113,1,1,1,28,,1,5,,0,15,6,9,11,1,6,4,1,1,1,1,2,0,1,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,-2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,4,4,4,4,4,4,4,4,3,3,3,3,1,2,-1,-2,1,1,1,1,14,1,1,0,
1576,1,1,1,28,,1,2,Certificate,2,2,2,9,7,1,6,3,0,0,1,0,,,,,,,,,,,,2,2,2,2,2,2,2,2,-1,2,2,2,2,2,2,2,2,2,2,2,-1,2,1,4,4,4,4,4,4,4,4,3,3,3,2,3,2,2,2,2,,,,,,0,,
4455,1,1,1,26,1,2,4,,1,7,1,4,1,1,6,1,0,1,1,1,1,,,,,,,,,,,1,1,1,1,1,2,2,2,1,2,2,2,-2,2,0,2,2,2,2,2,-2,-2,-2,4,4,4,4,4,4,4,4,3,3,3,2,3,2,2,2,1,1,1,1,14,2,1,0,
