d_carer_b,consent,willing,d_region_c_o,d_age_i,d_gender,d_edu_c_o,d_hosp_c_u,d_marital_c_u,d_chdn_i,d_job_role_c_u,d_work_unit_c_u,d_contact_freq_i,d_job_type_c_u,d_training_years_i,e_ever_worked_c_u,e_ever_cared_c_u,e_ever_contact_c_u,e_do_care_c_o,s_can_manage_c_o,s_cont_mge_c_o,s_ipc_skill_c_o,s_received_training,s_can_don_c_o,s_can_followc_o,s_can_protect_c_0,s_is_proected,s_is_straining_c_o,s_will_use_c_o,s_proto_exists_c_o,s_can_access_ppe_c_o,s_has_iso_fac,s_know_cont_c_o,s_get_supp_c_o,s_coll_follow_c_o,s_expected_i_fllw_c_o,s_enco_supp_c_o,b_manage,b_honest_manage,b_dir_interest,d_media_covid_v2,i_journals
NA,Yes,Yes,Yaounde,25,Female,Masters,Lucrative private health Facility,Prefer not to say,1,Midwife,Other,Never,Fulltime,< 1 year,No,No,No,No,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,0,0,0,-1,-1,-2,1,NA
NA,Yes,Yes,Yaounde,30,Female,High School Diploma,Lucrative private health Facility,Living alone,3,Allied health professionals,Medical Unit,Never,Fulltime,2 to 5  years,No,No,No,No,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly disagree,1,1,-2,2,-1,-1,3,NA
Yes,Yes,Yes,Yaounde,35,Female,First University Degree,Lucrative private health Facility,Living with another (Married - Partnership),3,Nurse,Outpatient department,Almost every day of the month,Prefer not to say,6 to 10 years,No,No,No,No,Somewhat disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,2,2,1,-2,1,1,1,NA
NA,Yes,Yes,Douala,56,Female,Post-Secondary School/SSS/SHS Certificate,Unlucrative private Health facility,Living with another (Married - Partnership),1,Nurse Assistant Preventive,Other,Almost every day of the month,Long-Term Contract (>12mths),More than 15 years,No,Yes,Yes,Yes,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,2,2,2,-2,-2,-2,1,NA
NA,Yes,Yes,Douala,37,Female,First University Degree,Lucrative private health Facility,Living alone,More than 5,Allied health professionals,Other,Almost every day of the month,Long-Term Contract (>12mths),2 to 5  years,Yes,Yes,Yes,Yes,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,2,2,-2,2,2,2,1,NA
Yes,Yes,Yes,Douala,32,Male,Other,Lucrative private health Facility,Living alone,3,Nurse,Other,Almost every day of the month,Long-Term Contract (>12mths),2 to 5  years,No,No,Yes,No,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,2,2,-2,-2,2,2,1,NA
NA,Yes,Yes,Douala,27,Female,Other,Unlucrative private Health facility,Living alone,1,Nurse,Medical Unit,Never,Voluntary,< 1 year,No,No,No,No,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,1,1,0,2,2,2,1,NA
Yes,Yes,Yes,Douala,30,Female,First University Degree,Lucrative private health Facility,Living alone,1,Non clinical,Other,Almost every day of the month,NA,2 to 5  years,No,Yes,Yes,Yes,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly disagree,1,2,2,-2,2,2,1,NA
NA,Yes,Yes,Douala,43,Female,Other,Lucrative private health Facility,Living with another (Married - Partnership),3,Non clinical,Other,Never,Long-Term Contract (>12mths),More than 15 years,No,No,Yes,No,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly agree,1,1,-1,-2,2,2,1,NA
NA,Yes,Yes,Douala,28,Male,First University Degree,Lucrative private health Facility,Living alone,1,Non clinical,Other,Almost every day of the month,Long-Term Contract (>12mths),6 to 10 years,No,No,Yes,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,2,2,2,-2,2,2,1,NA
Yes,Yes,Yes,Douala,30,Female,First University Degree,Lucrative private health Facility,Living alone,1,Allied health professionals,Other,Almost every day of the month,Long-Term Contract (>12mths),2 to 5  years,Yes,No,No,Yes,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Neither agree nor disagree,1,2,0,-2,1,1,1,NA
Yes,Yes,Yes,Douala,20,Female,Post-Secondary School/SSS/SHS Certificate,Lucrative private health Facility,Living with another (Married - Partnership),2,Nurse,Emergency,Almost every day of the month,Long-Term Contract (>12mths),2 to 5  years,No,Yes,Yes,No,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly disagree,1,2,1,-2,1,1,3,NA
Yes,Yes,Yes,Douala,24,Female,Post-Secondary School/SSS/SHS Certificate,Lucrative private health Facility,Living with another (Married - Partnership),2,Nurse,Medical Unit,Almost every day of the month,Short-term contract (< 13mths),2 to 5  years,No,Yes,Yes,No,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,1,1,-2,-2,1,1,1,NA
Yes,Yes,Yes,Douala,30,Female,Post-Secondary School/SSS/SHS Certificate,Lucrative private health Facility,Living with another (Married - Partnership),2,Nurse,Infectious Disease Ward,Almost every day of the month,Long-Term Contract (>12mths),6 to 10 years,No,No,Yes,No,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,1,2,2,-2,2,2,2,NA
Yes,Yes,Yes,Douala,40,Female,Post-Secondary School/SSS/SHS Certificate,Lucrative private health Facility,Living with another (Married - Partnership),4,Health Assistants,Other,Almost every day of the month,Voluntary,2 to 5  years,No,Yes,Yes,No,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,-1,-1,-1,-2,-2,-1,1,NA
Yes,Yes,Yes,Douala,28,Male,Masters,Lucrative private health Facility,Living alone,1,Medical Doctor,Other,Almost every day of the month,Short-term contract (< 13mths),< 1 year,Yes,No,Unsure,No,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,2,2,-1,-2,0,0,1,NA
Yes,Yes,Yes,Douala,30,Female,High School Diploma,Lucrative private health Facility,Living with another (Married - Partnership),4,Nurse,Maternity,Almost every day of the month,Part time,6 to 10 years,No,No,Yes,No,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,1,1,-1,-2,-1,1,1,NA
Yes,Yes,Yes,Douala,24,Female,Other,Lucrative private health Facility,Living alone,1,Nurse,Other,Almost every day of the month,Long-Term Contract (>12mths),2 to 5  years,No,No,No,No,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,1,2,2,-2,1,1,1,NA
NA,Yes,Yes,Douala,29,Female,First University Degree,Lucrative private health Facility,Living alone,2,Nurse,Pediatric,Almost every day of the month,Fulltime,2 to 5  years,No,No,Yes,No,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,2,2,2,-2,-1,-1,4,NA
NA,Yes,Yes,Douala,34,Female,First University Degree,Lucrative private health Facility,Living with another (Married - Partnership),3,Non clinical,Other,Almost every day of the month,Long-Term Contract (>12mths),6 to 10 years,No,No,No,No,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,2,2,2,2,2,2,4,NA
NA,Yes,Yes,Douala,36,Female,First University Degree,Lucrative private health Facility,Living with another (Married - Partnership),3,Non clinical,Other,Almost every day of the month,Fulltime,6 to 10 years,No,No,Yes,No,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat disagree,2,2,2,-1,2,2,6,NA
NA,Yes,Yes,Douala,64,Male,Post-Secondary School/SSS/SHS Certificate,Lucrative private health Facility,Living with another (Married - Partnership),2,Non clinical,Other,About one day in the month,Casual or locum staff,2 to 5  years,No,No,Yes,No,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,-1,2,-1,-1,-1,-2,1,NA
Yes,Yes,Yes,Yaounde,44,Male,Masters,Lucrative private health Facility,Living alone,1,Medical Doctor,Outpatient department,Almost every day of the month,Long-Term Contract (>12mths),6 to 10 years,No,No,No,No,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,2,2,2,-2,2,2,1,NA
Yes,Yes,Yes,Yaounde,28,Female,First University Degree,Lucrative private health Facility,Living alone,4,Midwife,Maternity,Almost every day of the month,Voluntary,2 to 5  years,No,No,No,No,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,2,2,2,-2,2,2,7,NA
Yes,Yes,Yes,Yaounde,29,Female,Post-Secondary School/SSS/SHS Certificate,Lucrative private health Facility,Living alone,3,Nurse,Maternity,Almost every day of the month,Prefer not to say,2 to 5  years,No,No,Yes,No,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,2,2,2,-1,2,2,1,NA
NA,Yes,Yes,Yaounde,43,Female,High School Diploma,Lucrative private health Facility,Living with another (Married - Partnership),5,Non clinical,Other,Never,Fulltime,6 to 10 years,No,No,No,No,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,-2,-2,-2,-2,-2,-2,1,NA
Yes,NA,Yes,Yaounde,28,Female,Masters,Unlucrative private Health facility,Living alone,4,Allied health professionals,Outpatient department,Almost every day of the month,Short-term contract (< 13mths),2 to 5  years,No,No,Yes,No,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,2,2,2,-2,2,2,1,NA
Yes,Yes,Yes,Yaounde,42,Female,Post-Secondary School/SSS/SHS Certificate,Unlucrative private Health facility,Living alone,4,Non clinical,Other,Almost every day of the month,Long-Term Contract (>12mths),11 to 15 years,No,No,Yes,No,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,-1,2,2,-2,-2,2,1,NA
NA,Yes,Yes,Yaounde,33,Male,First University Degree,Unlucrative private Health facility,Living with another (Married - Partnership),4,Nurse,Other,Almost every day of the month,Long-Term Contract (>12mths),6 to 10 years,Yes,Yes,Yes,Yes,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,2,2,2,-2,2,2,1,NA
Yes,Yes,Yes,Yaounde,26,Female,First University Degree,Unlucrative private Health facility,Living alone,1,Nurse,Other,Almost every day of the month,Voluntary,< 1 year,No,No,Unsure,No,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,2,2,2,-2,2,2,1,NA
Yes,Yes,Yes,Yaounde,21,Female,High School Diploma,Unlucrative private Health facility,Living alone,1,Nurse,Maternity,Almost every day of the month,Voluntary,< 1 year,No,No,Yes,No,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,2,2,2,0,2,2,1,NA
Yes,Yes,Yes,Yaounde,34,Female,First University Degree,Unlucrative private Health facility,Living with another (Married - Partnership),5,Nurse,Other,Almost every day of the month,Voluntary,< 1 year,No,No,Yes,No,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,2,2,2,-2,2,2,1,NA
Yes,Yes,Yes,Yaounde,26,Female,Masters,Unlucrative private Health facility,Living with another (Married - Partnership),4,Nurse,Other,Almost every day of the month,Long-Term Contract (>12mths),6 to 10 years,No,No,Yes,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,2,2,2,2,2,2,2,NA
Yes,Yes,Yes,Yaounde,33,Female,Masters,Lucrative private health Facility,Living alone,1,Medical Doctor,Outpatient department,Almost every day of the month,Casual or locum staff,6 to 10 years,Yes,Yes,No,No,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Neither agree nor disagree,2,2,2,-2,2,2,1,NA
Yes,Yes,Yes,Yaounde,25,Female,First University Degree,Unlucrative private Health facility,Living alone,1,Nurse Assistant Clinical,Other,Almost every day of the month,Voluntary,< 1 year,No,No,Yes,No,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,2,2,2,-2,2,2,1,NA
Yes,Yes,Yes,Yaounde,50,Male,Post-Secondary School/SSS/SHS Certificate,Unlucrative private Health facility,Living with another (Married - Partnership),More than 5,Non clinical,Other,Almost every day of the month,Long-Term Contract (>12mths),More than 15 years,Yes,No,No,No,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,2,2,2,-2,2,2,1,NA
Yes,Yes,Yes,Yaounde,30,Male,First University Degree,Lucrative private health Facility,Living alone,1,Nurse,Medical Unit,Almost every day of the month,Part time,< 1 year,No,No,Unsure,No,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly agree,2,2,2,-2,2,2,1,NA
Yes,Yes,Yes,Yaounde,28,Male,First University Degree,Lucrative private health Facility,Living alone,1,Allied health professionals,Maternity,Almost every day of the month,Short-term contract (< 13mths),2 to 5  years,Yes,No,No,No,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,2,2,2,-2,2,2,1,NA
Yes,Yes,Yes,Yaounde,24,Female,First University Degree,Lucrative private health Facility,Living alone,1,Nurse Assistant Clinical,Outpatient department,Almost every day of the month,Part time,< 1 year,No,No,No,No,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,2,2,2,0,2,2,1,NA
Yes,Yes,Yes,Yaounde,28,Female,First University Degree,Lucrative private health Facility,Living with another (Married - Partnership),4,Nurse,Other,Almost every day of the month,Long-Term Contract (>12mths),6 to 10 years,Yes,Yes,No,Yes,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,2,2,2,-2,2,2,1,NA
Yes,Yes,Yes,Yaounde,25,Female,High School Diploma,Lucrative private health Facility,Living with another (Married - Partnership),3,Midwife,Maternity,Almost every day of the month,Part time,< 1 year,No,No,No,No,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Strongly agree,2,2,2,2,2,2,1,NA
